Channel;City;Region;Customer name;Distance from the warehouse 
Local store;Steornabhagh a Deas Ward;Western Isles;Levering, Charles B Esq;50
Franchise;Abbey Ward;Buckinghamshire;C Leasing Company;160
Franchise;East Putney Ward;Greater London;Fire Protection Consultants;70
Franchise;East Southbourne and Tuckton W;Bournemouth;Kxlt Radio (k 108 Fm);20
Small chain store;Abbey Ward;Buckinghamshire;Sotorrio, Rene A Esq;70
Supermarket;Abbey Ward;Buckinghamshire;Cinemax Cable Pay Tv Svce;35
Local store;Conisbrough and Denaby Ward;South Yorkshire;Combs Sheetmetal;30
Local store;Abbey Ward;Buckinghamshire;Fineshriber, Marilyn Esq;5
Franchise;Darnall Ward;Yorkshire, South;Wallace, Bruce R Esq;85
Franchise;Darnall Ward;Yorkshire, South;Domestic Intrntl Techlgy Ltd;85
Supermarket;Abbey Ward;Buckinghamshire;Lee, Stan Dvm;35
Supermarket;Carbrooke;Norfolk;Chomsky, Charles Esq;160
Franchise;St. Stephens Ward;Kent;Dustbooks;40
Franchise;Prittlewell Ward;Essex;Ric Lo Productions Ltd;45
Supermarket;Abbey Ward;Buckinghamshire;Shohet, Grace C Esq;60
Franchise;Lancing;West Sussex;Lbt;25
Franchise;Astley Bridge Ward;Greater Manchester;Wky Am 930 Stereo;75
Small chain store;Cockerton West Ward;Darlington;Saint Thomas Creations;35
Small chain store;Ryde;Isle of Wight;New York C Liquidators Inc;40
Small chain store;Broxburn, Uphall and Winchburg;West Lothian;John Noda A Law Ofc Lawrence E;155
Supermarket;Abbey Ward;Buckinghamshire;Mr Bar B Q Inc;60
Supermarket;Forth Ward;City of Edinburgh;Atec;40
Supermarket;Lancing;West Sussex;Allgood Industries;25
Franchise;Warlingham;Surrey;National Lime Association;40
Franchise;Letchworth South West Ward;Hertfordshire;Gemini Hats & Accessories Inc;35
Supermarket;Abbey Ward;Buckinghamshire;Creative Photography Inc;45
Local store;Broxburn, Uphall and Winchburg;West Lothian;Goodspeed, Paul E Esq;35
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Supermarket;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Small chain store;;;;#N/A
Local store;;;;#N/A
Franchise;;;;#N/A
Franchise;;;;#N/A
