work_order_id,equipment_id,site_id,open_time,close_time,failure_type,parts_cost_aud,labor_hours,priority
WO00963,CNV003,WA001,2024-10-30 05:00:00,2024-10-31 04:05:36,BELT REPLACEMENT,46422.67,20.55,MEDIUM
WO00964,TRK002,QLD001,2024-07-23 00:00:00,2024-07-24 16:52:58,Coolant System,7477.02,28.21,MEDIUM
WO00965,CRU003,QLD001,2024-12-01 20:00:00,2024-12-02 17:00:02,Electrical Fault,30249.51,10.94,high
WO00966,EXC002,NSW001,2024-12-16 13:00:00,2024-12-18 09:34:11,COOLANT SYSTEM,33040.95,55.05,LOW
WO00967,TRK005,NSW001,2024-08-18 18:00:00,2024-08-19 03:27:41,Coolant System,"$5,825.24",8.78,MEDIUM
WO00968,EXC001,NSW001,2024-09-11 01:00:00,2024-09-11 11:51:19,brake system,47040.22,6.39,LOW
WO00969,TRK002,NSW001,2024-04-29 22:00:00,2024-04-30 05:51:11,Tire Damage,45977.75,6.1,Medium
WO00970,CNV002,QLD001,2024-12-21 04:00:00,2024-12-21 22:19:04,Sensor Malfunction,"$3,260.65",22.46,LOW
WO00971,TRK006,QLD001,2024-06-19 14:00:00,2024-06-20 03:46:16,Brake System,32317.94,20.27,LOW
WO00972,CRU003,QLD001,2024-09-03 02:00:00,2024-09-03 14:15:35,Bearing Failure,38420.91,11.38,Medium
WO00973,CRU003,QLD001,2024-03-21 08:00:00,2024-03-21 22:47:21,Electrical Fault,1755.50,17.94,LOW
WO00974,CNV003,WA001,2024-10-04 08:00:00,2024-10-06 01:25:51,Electrical Fault,"$12,647.43",44.37,MEDIUM
WO00975,TRK004,NSW001,2024-04-01 18:00:00,2024-04-01 21:53:58,transmission issue,"$147,190.00",5.19,LOW
WO00976,TRK007,NSW001,2024-07-08 11:00:00,2024-07-08 17:06:26,coolant system,"$138,982.00",8.26,high
WO00977,TRK010,QLD001,2024-07-20 06:00:00,2024-07-22 05:36:46,Coolant System,32064.08,33.88,LOW
WO00978,EXC004,WA001,2024-12-28 14:00:00,2024-12-30 10:10:06,coolant system,38960.47,36.5,LOW
WO00979,TRK012,WA001,2024-12-09 01:00:00,2024-12-10 06:09:03,Tire Damage,"$159,934.00",35.1,Medium
WO00980,TRK003,WA001,2024-03-10 08:00:00,2024-03-12 04:16:59,Bearing Failure,"$37,921.41",59.68,high
WO00981,TRK009,NSW001,2024-12-13 08:00:00,2024-12-14 17:03:19,Brake System,"$10,387.73",37.41,high
WO00982,CRU003,WA001,2024-05-20 22:00:00,2024-05-22 20:52:11,Coolant System,46520.80,38.43,MEDIUM
WO00983,TRK007,QLD001,2024-04-29 00:00:00,2024-04-30 01:26:41,Sensor Malfunction,"$6,346.75",29.49,high
WO00984,TRK007,QLD001,2024-07-30 20:00:00,2024-07-31 00:13:50,belt replacement,28428.68,3.82,Medium
WO00985,EXC002,WA001,2024-02-12 12:00:00,2024-02-14 05:51:55,Engine Failure,"$13,821.93",50.79,LOW
WO00986,CRU003,NSW001,2024-08-15 06:00:00,2024-08-15 12:23:28,Belt Replacement,36229.71,8.96,Medium
WO00987,TRK002,QLD001,2024-09-03 00:00:00,2024-09-04 04:38:03,Bearing Failure,"$19,499.22",33.17,high
WO00988,CRU003,WA001,2024-06-11 07:00:00,2024-06-11 20:29:17,Sensor Malfunction,38217.67,18.76,MEDIUM
WO00989,TRK003,QLD001,2024-05-30 22:00:00,2024-06-01 04:53:53,Coolant System,20356.45,38.93,high
WO00990,EXC001,NSW001,2024-04-13 12:00:00,2024-04-15 05:50:36,Tire Damage,"$117,513.00",43.79,Medium
WO00991,TRK007,WA001,2024-07-12 01:00:00,2024-07-12 08:21:19,Belt Replacement,5761.11,8.24,Medium
WO00992,TRK009,NSW001,2024-05-16 13:00:00,,sensor malfunction,45385.11,24.21,Medium
WO00993,CNV002,WA001,2024-10-08 15:00:00,2024-10-09 21:16:02,Belt Replacement,26417.40,20.03,Medium
WO00994,CRU001,QLD001,2024-01-09 02:00:00,2024-01-10 19:56:35,belt replacement,8954.56,38.27,LOW
WO00995,CNV003,WA001,2024-01-13 02:00:00,2024-01-14 01:19:30,Engine Failure,"$127,659.00",26.27,LOW
WO00996,TRK007,WA001,2024-04-24 23:00:00,,belt replacement,3266.06,32.74,HIGH
WO00997,EXC002,WA001,2024-07-16 09:00:00,2024-07-17 11:31:45,Bearing Failure,"$20,587.43",30.18,LOW
WO00998,TRK012,QLD001,2024-01-05 16:00:00,2024-01-06 12:49:46,Hydraulic Leak,4475.44,30.98,MEDIUM
WO00999,CRU002,WA001,2024-06-09 17:00:00,2024-06-10 13:47:23,Transmission Issue,33777.70,20.11,LOW
WO01000,TRK010,NSW001,2024-06-18 22:00:00,2024-06-19 18:09:26,Belt Replacement,48099.19,26.95,MEDIUM
WO01001,TRK006,NSW001,2024-03-14 21:00:00,2024-03-15 16:23:40,Brake System,34477.01,21.66,LOW
WO01002,EXC002,WA001,2024-11-22 11:00:00,2024-11-23 12:08:07,TIRE DAMAGE,13983.05,21.77,high
WO01003,TRK001,QLD001,2024-07-05 08:00:00,2024-07-06 15:58:03,Bearing Failure,29745.05,44.84,high
WO01004,TRK008,NSW001,2024-01-26 12:00:00,2024-01-28 11:23:24,TRANSMISSION ISSUE,49927.06,46.94,Medium
WO01005,CRU002,QLD001,2024-01-09 00:00:00,2024-01-10 02:17:02,Brake System,"$4,898.12",36.0,high
WO01006,TRK001,QLD001,2024-12-07 07:00:00,2024-12-09 05:51:43,Brake System,"$42,681.84",66.27,LOW
WO01007,EXC001,WA001,2024-01-12 06:00:00,2024-01-12 20:10:27,Transmission Issue,26531.76,14.24,LOW
WO01008,CRU003,QLD001,2024-12-26 14:00:00,2024-12-28 02:10:26,belt replacement,10435.10,51.42,Medium
WO01009,EXC006,QLD001,2024-07-08 15:00:00,2024-07-10 13:19:50,tire damage,23104.45,30.54,high
WO01010,TRK005,NSW001,2024-08-22 08:00:00,,Hydraulic Leak,18347.83,11.09,high
WO01011,EXC002,WA001,2024-12-02 13:00:00,2024-12-02 19:06:52,Engine Failure,"$43,996.56",6.67,MEDIUM
WO01012,TRK003,NSW001,2024-11-23 17:00:00,2024-11-25 06:46:36,electrical fault,48719.11,32.5,Medium
WO01013,CRU001,QLD001,2024-01-08 13:00:00,2024-01-08 18:09:52,Bearing Failure,35524.20,4.22,MEDIUM
WO01014,CRU001,QLD001,2024-12-19 20:00:00,2024-12-20 14:17:56,brake system,"$7,635.96",15.41,high
WO01015,TRK013,QLD001,2024-09-30 16:00:00,2024-10-01 15:14:07,transmission issue,28011.45,14.5,LOW
WO01016,TRK012,QLD001,2024-08-29 15:00:00,2024-08-31 09:20:26,bearing failure,26749.33,26.55,HIGH
WO01017,TRK002,NSW001,2024-11-02 22:00:00,2024-11-04 13:40:00,Sensor Malfunction,2257.78,58.16,HIGH
WO01018,EXC004,WA001,2024-09-07 03:00:00,2024-09-08 08:26:43,hydraulic leak,31510.28,20.51,HIGH
WO01019,TRK007,NSW001,2024-01-06 02:00:00,2024-01-06 21:45:46,belt replacement,"$33,442.22",20.46,LOW
WO01020,TRK002,NSW001,2024-07-07 21:00:00,2024-07-09 17:41:48,Tire Damage,32994.87,22.7,Medium
WO01021,EXC002,QLD001,2024-05-05 07:00:00,2024-05-06 22:35:46,Engine Failure,33594.71,40.14,MEDIUM
WO01022,TRK013,QLD001,2024-02-12 08:00:00,2024-02-14 02:50:56,bearing failure,21193.88,58.87,Medium
WO01023,EXC001,QLD001,2024-09-17 20:00:00,2024-09-18 10:39:37,BELT REPLACEMENT,20479.93,14.19,MEDIUM
WO01024,TRK003,WA001,2024-09-23 22:00:00,2024-09-25 15:24:24,Engine Failure,11763.27,36.89,HIGH
WO01025,CNV001,QLD001,2024-05-20 23:00:00,2024-05-22 17:04:36,tire damage,"$21,175.24",53.16,high
WO01026,CRU003,NSW001,2024-11-18 11:00:00,2024-11-19 21:01:09,Brake System,4859.56,46.23,high
WO01027,TRK001,QLD001,2024-04-04 09:00:00,2024-04-06 05:18:29,ELECTRICAL FAULT,34337.43,47.83,high
WO01028,EXC006,WA001,2024-05-10 13:00:00,2024-05-11 04:52:11,Bearing Failure,23345.89,11.17,Medium
WO01029,TRK007,WA001,2024-05-21 05:00:00,2024-05-22 11:46:53,Engine Failure,49507.24,17.95,HIGH
WO01030,TRK008,NSW001,2024-12-26 17:00:00,2024-12-27 05:03:07,Tire Damage,33893.33,7.7,MEDIUM
WO01031,TRK012,WA001,2024-09-07 13:00:00,2024-09-08 12:32:59,Coolant System,2608.12,23.94,HIGH
WO01032,CNV003,QLD001,2024-02-07 23:00:00,2024-02-08 10:50:51,electrical fault,"$22,019.33",7.09,high
WO01033,TRK014,QLD001,2024-04-27 21:00:00,2024-04-29 06:55:04,Belt Replacement,49086.88,43.22,Medium
WO01034,TRK002,QLD001,2024-09-02 22:00:00,2024-09-04 21:07:04,tire damage,33005.17,38.35,HIGH
WO01035,TRK005,WA001,2024-07-06 03:00:00,2024-07-06 11:42:20,Hydraulic Leak,26725.32,7.66,HIGH
WO01036,CRU002,NSW001,2024-06-11 18:00:00,2024-06-13 15:01:54,brake system,45790.99,24.53,LOW
WO01037,TRK014,NSW001,2024-06-03 11:00:00,,Sensor Malfunction,37811.86,12.14,MEDIUM
WO01038,EXC005,QLD001,2024-01-02 04:00:00,2024-01-02 18:46:18,Coolant System,"$45,109.93",12.3,high
WO01039,TRK008,NSW001,2024-06-16 16:00:00,2024-06-17 13:24:26,coolant system,45756.91,17.58,high
WO01040,TRK001,QLD001,2024-05-31 10:00:00,,engine failure,16549.16,1.36,Medium
WO01041,TRK002,WA001,2024-11-05 18:00:00,2024-11-06 19:54:36,transmission issue,"$196,061.00",27.13,Medium
WO01042,EXC001,QLD001,2024-12-12 18:00:00,2024-12-13 08:18:36,Coolant System,523.45,13.7,HIGH
WO01043,TRK001,QLD001,2024-05-06 22:00:00,2024-05-08 11:23:47,Electrical Fault,"$150,473.00",22.99,Medium
WO01044,CNV001,WA001,2024-08-16 11:00:00,2024-08-18 03:39:52,transmission issue,21513.02,26.1,HIGH
WO01045,TRK013,NSW001,2024-12-07 18:00:00,2024-12-08 08:26:01,Brake System,15801.24,14.99,high
WO01046,CRU002,QLD001,2024-02-03 05:00:00,2024-02-03 10:37:28,Hydraulic Leak,"$35,315.91",2.81,MEDIUM
WO01047,TRK012,WA001,2024-10-19 22:00:00,2024-10-21 07:02:54,TRANSMISSION ISSUE,39014.77,29.24,high
WO01048,TRK006,WA001,2024-07-19 17:00:00,2024-07-21 02:05:33,transmission issue,"$151,657.00",46.38,high
WO01049,CNV002,NSW001,2024-07-05 07:00:00,2024-07-06 20:06:26,electrical fault,25708.71,22.28,high
WO01050,EXC006,NSW001,2024-11-29 06:00:00,2024-11-29 15:46:37,Brake System,15560.70,8.66,MEDIUM
WO01051,CNV002,NSW001,2024-10-12 23:00:00,2024-10-13 03:31:25,Engine Failure,"$32,845.48",5.62,MEDIUM
WO01052,TRK012,NSW001,2024-01-17 22:00:00,2024-01-19 05:23:25,BELT REPLACEMENT,"$23,650.34",40.06,HIGH
WO01053,EXC005,NSW001,2024-09-12 03:00:00,2024-09-12 11:12:06,sensor malfunction,22837.56,10.64,HIGH
WO01054,EXC006,WA001,2024-03-16 01:00:00,2024-03-17 21:53:57,TRANSMISSION ISSUE,24436.10,52.32,MEDIUM
WO01055,CRU001,WA001,2024-02-29 20:00:00,,Electrical Fault,"$31,893.89",25.17,Medium
WO01056,EXC001,NSW001,2024-05-13 18:00:00,2024-05-14 11:42:31,hydraulic leak,9831.30,19.55,Medium
WO01057,TRK012,QLD001,2024-05-03 17:00:00,2024-05-04 17:31:38,ELECTRICAL FAULT,14385.13,26.69,LOW
WO01058,CRU001,WA001,2024-05-06 17:00:00,2024-05-07 00:52:36,Engine Failure,2742.10,5.0,HIGH
WO01059,TRK015,NSW001,2024-02-20 15:00:00,2024-02-21 08:14:52,HYDRAULIC LEAK,39102.76,13.9,HIGH
WO01060,TRK014,NSW001,2024-04-19 14:00:00,2024-04-20 10:09:12,Hydraulic Leak,17605.98,21.03,LOW
WO01061,TRK015,WA001,2024-04-16 21:00:00,2024-04-18 19:52:15,Engine Failure,41854.47,44.95,high
WO01062,EXC004,NSW001,2024-12-27 05:00:00,2024-12-28 07:15:22,Belt Replacement,3265.15,14.41,high
WO01063,EXC005,NSW001,2024-02-02 05:00:00,,hydraulic leak,23643.61,41.47,LOW
WO01064,EXC003,NSW001,2024-08-09 20:00:00,2024-08-11 14:29:34,TRANSMISSION ISSUE,13613.04,61.1,Medium
WO01065,TRK003,NSW001,2024-01-05 16:00:00,2024-01-06 06:38:43,tire damage,49208.24,7.65,HIGH
WO01066,EXC005,QLD001,2024-09-04 05:00:00,2024-09-05 00:20:29,Electrical Fault,44559.75,25.57,Medium
WO01067,EXC001,QLD001,2024-02-11 22:00:00,2024-02-13 17:12:08,bearing failure,21766.68,22.42,MEDIUM
WO01068,TRK005,NSW001,2024-06-17 03:00:00,2024-06-17 06:59:54,transmission issue,"$189,839.00",2.91,HIGH
WO01069,TRK012,QLD001,2024-06-11 10:00:00,,Engine Failure,10021.26,53.11,MEDIUM
WO01070,TRK003,WA001,2024-09-01 11:00:00,2024-09-03 03:06:03,COOLANT SYSTEM,31174.47,32.05,HIGH
WO01071,CRU003,QLD001,2024-07-20 19:00:00,2024-07-21 10:06:20,Brake System,"$27,734.19",9.65,high
WO01072,EXC004,QLD001,2024-03-26 07:00:00,2024-03-26 17:11:35,Brake System,13632.49,9.94,HIGH
WO01073,CNV002,WA001,2024-10-16 22:00:00,2024-10-17 10:27:43,Hydraulic Leak,"$30,637.20",15.31,LOW
WO01074,EXC001,NSW001,2024-09-26 19:00:00,2024-09-26 23:55:05,brake system,7366.40,6.92,Medium
WO01075,TRK007,WA001,2024-12-10 17:00:00,2024-12-11 12:22:04,Brake System,"$2,988.35",11.45,Medium
WO01076,EXC006,WA001,2024-09-28 07:00:00,,electrical fault,"$102,102.00",30.43,LOW
WO01077,EXC004,QLD001,2024-10-31 03:00:00,2024-11-01 05:41:40,Engine Failure,25314.57,29.93,high
WO01078,TRK006,WA001,2024-08-18 04:00:00,2024-08-20 02:02:07,Bearing Failure,49053.26,34.74,Medium
WO01079,EXC003,WA001,2024-02-28 23:00:00,2024-02-29 18:59:54,Transmission Issue,"$25,674.81",21.74,Medium
WO01080,TRK015,NSW001,2024-12-07 01:00:00,2024-12-09 00:08:02,HYDRAULIC LEAK,"$10,424.67",32.26,HIGH
WO01081,TRK005,WA001,2024-03-13 07:00:00,2024-03-14 10:13:59,Hydraulic Leak,46343.77,36.82,LOW
WO01082,EXC002,NSW001,2024-06-13 07:00:00,2024-06-14 05:06:11,ELECTRICAL FAULT,"$26,028.57",24.95,high
WO01083,TRK002,WA001,2024-10-08 17:00:00,2024-10-09 15:46:17,SENSOR MALFUNCTION,"$45,598.37",22.71,MEDIUM
WO01084,TRK002,WA001,2024-11-02 07:00:00,2024-11-03 04:38:06,bearing failure,32114.02,23.8,HIGH
WO01085,TRK012,QLD001,2024-05-05 17:00:00,2024-05-07 09:06:53,Bearing Failure,5741.79,48.42,Medium
WO01086,EXC004,NSW001,2024-05-03 06:00:00,2024-05-04 02:27:46,Engine Failure,"$13,144.18",11.43,MEDIUM
WO01087,TRK006,WA001,2024-12-27 00:00:00,2024-12-27 15:32:35,brake system,27308.23,19.26,Medium
WO01088,TRK007,WA001,2024-06-01 14:00:00,2024-06-02 09:12:52,Sensor Malfunction,9613.79,19.96,high
WO01089,TRK002,WA001,2024-05-17 01:00:00,,transmission issue,19859.95,53.64,high
WO01090,CNV001,QLD001,2024-10-06 22:00:00,2024-10-07 10:52:12,brake system,30978.89,19.2,Medium
WO01091,CRU003,NSW001,2024-10-11 21:00:00,2024-10-12 05:26:27,ENGINE FAILURE,"$44,134.76",11.47,MEDIUM
WO01092,TRK006,WA001,2024-01-02 06:00:00,2024-01-03 04:06:15,BELT REPLACEMENT,47957.41,31.12,Medium
WO01093,TRK015,QLD001,2024-06-02 17:00:00,2024-06-04 03:08:49,coolant system,"$1,688.48",22.62,high
WO01094,EXC005,NSW001,2024-08-11 10:00:00,2024-08-11 16:53:48,engine failure,8250.70,4.1,Medium
WO01095,TRK011,QLD001,2024-11-16 22:00:00,2024-11-17 15:45:09,Coolant System,21322.38,19.93,HIGH
WO01096,CRU002,WA001,2024-05-20 23:00:00,2024-05-21 05:51:20,Coolant System,32374.91,8.82,LOW
WO01097,CRU003,WA001,2024-09-24 05:00:00,2024-09-25 15:02:32,Engine Failure,7217.31,30.29,Medium
WO01098,CRU003,QLD001,2024-01-07 21:00:00,2024-01-08 01:25:12,SENSOR MALFUNCTION,48683.53,5.33,HIGH
WO01099,TRK001,WA001,2024-07-27 13:00:00,2024-07-29 01:20:18,belt replacement,"$27,451.83",46.4,HIGH
WO01100,EXC004,WA001,2024-09-23 10:00:00,2024-09-25 08:48:07,Bearing Failure,17647.14,35.59,MEDIUM
WO01101,EXC004,QLD001,2024-02-16 00:00:00,2024-02-16 10:58:01,Coolant System,10656.69,10.92,LOW
WO01102,EXC001,QLD001,2024-11-16 11:00:00,2024-11-18 07:53:41,Sensor Malfunction,42128.95,49.48,Medium
WO01103,TRK009,NSW001,2024-05-10 20:00:00,2024-05-11 07:03:20,Bearing Failure,"$9,021.54",14.89,MEDIUM
WO01104,TRK014,QLD001,2024-10-05 01:00:00,2024-10-05 05:46:36,Tire Damage,10835.18,5.69,HIGH
WO01105,TRK010,QLD001,2024-02-08 01:00:00,2024-02-08 12:10:40,Electrical Fault,37288.51,15.2,MEDIUM
WO01106,TRK015,NSW001,2024-08-18 22:00:00,2024-08-19 15:00:31,Coolant System,37516.78,23.65,high
WO01107,TRK006,NSW001,2024-12-03 11:00:00,2024-12-05 02:55:50,Brake System,27503.53,29.19,HIGH
WO01108,TRK015,NSW001,2024-01-06 16:00:00,2024-01-07 05:50:42,Tire Damage,49745.88,15.03,MEDIUM
WO01109,TRK010,NSW001,2024-04-25 20:00:00,2024-04-26 02:09:21,engine failure,"$17,898.75",3.38,MEDIUM
WO01110,CNV002,NSW001,2024-10-30 01:00:00,,Coolant System,36038.70,28.45,high
WO01111,EXC004,QLD001,2024-08-16 21:00:00,,brake system,23599.69,50.75,HIGH
WO01112,CRU002,WA001,2024-10-26 03:00:00,2024-10-26 10:00:46,Belt Replacement,37443.67,8.48,LOW
WO01113,EXC006,WA001,2024-12-28 05:00:00,2024-12-29 11:24:43,Engine Failure,"$25,474.91",28.87,MEDIUM
WO01114,CRU002,NSW001,2024-10-20 15:00:00,2024-10-22 14:37:37,SENSOR MALFUNCTION,"$33,118.74",38.12,HIGH
WO01115,TRK013,WA001,2024-03-20 21:00:00,2024-03-21 07:31:06,Brake System,26518.33,9.24,Medium
WO01116,TRK001,WA001,2024-11-04 16:00:00,2024-11-06 05:13:07,Electrical Fault,"$127,033.00",35.2,MEDIUM
WO01117,TRK008,QLD001,2024-07-06 07:00:00,2024-07-07 19:52:37,bearing failure,13227.21,41.99,LOW
WO01118,TRK005,WA001,2024-03-08 18:00:00,2024-03-10 12:26:36,electrical fault,"$10,758.53",56.83,high
WO01119,TRK005,QLD001,2024-03-09 11:00:00,2024-03-09 21:09:32,belt replacement,41617.17,9.0,Medium
WO01120,TRK013,NSW001,2024-04-26 15:00:00,2024-04-28 08:13:21,Brake System,39073.09,21.86,LOW
WO01121,TRK013,NSW001,2024-01-27 18:00:00,2024-01-28 01:52:36,brake system,36303.64,5.67,MEDIUM
WO01122,CRU002,WA001,2024-09-01 21:00:00,2024-09-03 00:26:12,Electrical Fault,"$43,420.76",31.5,MEDIUM
WO01123,CRU001,QLD001,2024-12-12 14:00:00,2024-12-14 01:45:03,BEARING FAILURE,16672.12,32.48,Medium
WO01124,TRK006,NSW001,2024-05-04 18:00:00,2024-05-06 14:40:16,Electrical Fault,44906.40,39.24,MEDIUM
WO01125,TRK009,WA001,2024-02-09 04:00:00,2024-02-10 10:59:48,Electrical Fault,15322.81,18.86,MEDIUM
WO01126,TRK001,QLD001,2024-02-27 09:00:00,2024-02-27 20:11:55,HYDRAULIC LEAK,3178.99,13.94,HIGH
WO01127,TRK001,NSW001,2024-03-14 21:00:00,,Electrical Fault,45030.83,17.47,MEDIUM
WO01128,EXC001,NSW001,2024-04-08 05:00:00,2024-04-08 10:07:10,brake system,"$32,594.72",7.11,MEDIUM
WO01129,TRK012,NSW001,2024-02-20 03:00:00,2024-02-21 00:41:51,electrical fault,36916.44,16.29,high
WO01130,EXC003,QLD001,2024-06-06 22:00:00,2024-06-08 01:09:24,Bearing Failure,44004.80,13.61,high
WO01131,TRK003,NSW001,2024-05-16 09:00:00,,Tire Damage,"$7,593.53",53.16,HIGH
WO01132,TRK014,WA001,2024-12-28 18:00:00,2024-12-28 23:33:55,transmission issue,29291.42,3.4,MEDIUM
WO01133,CRU003,NSW001,2024-10-21 22:00:00,2024-10-22 21:34:20,Coolant System,"$127,764.00",17.71,Medium
WO01134,CRU002,QLD001,2024-04-19 08:00:00,2024-04-19 11:16:23,Brake System,20094.99,3.45,HIGH
WO01135,EXC002,WA001,2024-12-29 21:00:00,2024-12-30 14:39:43,Belt Replacement,"$20,130.26",25.69,HIGH
WO01136,TRK004,NSW001,2024-03-14 11:00:00,2024-03-15 02:54:45,Hydraulic Leak,"$8,693.52",17.91,high
WO01137,CRU003,QLD001,2024-07-19 09:00:00,2024-07-19 13:23:47,transmission issue,23361.02,2.57,high
WO01138,TRK006,WA001,2024-01-15 23:00:00,2024-01-17 15:48:10,Belt Replacement,2023.40,42.33,LOW
WO01139,TRK009,QLD001,2024-12-25 16:00:00,2024-12-26 10:05:53,Tire Damage,24176.81,24.57,Medium
WO01140,TRK004,WA001,2024-04-08 02:00:00,2024-04-08 21:20:35,Bearing Failure,"$9,492.29",27.55,HIGH
WO01141,CRU003,QLD001,2024-11-14 07:00:00,2024-11-15 03:13:15,Belt Replacement,46929.84,21.81,LOW
WO01142,EXC003,NSW001,2024-08-14 14:00:00,2024-08-15 14:01:55,ENGINE FAILURE,11012.68,28.08,LOW
WO01143,TRK014,WA001,2024-05-01 08:00:00,2024-05-01 13:23:03,transmission issue,37169.79,5.68,LOW
WO01144,TRK008,WA001,2024-07-31 21:00:00,2024-08-02 11:03:56,Electrical Fault,39025.57,45.47,high
WO01145,TRK001,QLD001,2024-03-19 01:00:00,2024-03-19 08:16:43,tire damage,48568.58,6.6,Medium
WO01146,TRK008,NSW001,2024-05-30 20:00:00,2024-05-31 03:01:42,engine failure,"$20,871.17",5.99,Medium
WO01147,TRK012,QLD001,2024-08-26 13:00:00,2024-08-27 02:55:59,BEARING FAILURE,32556.94,20.07,LOW
WO01148,EXC006,WA001,2024-05-01 21:00:00,2024-05-02 21:49:17,sensor malfunction,"$192,176.00",12.94,high
WO01149,EXC006,NSW001,2024-01-12 11:00:00,,Belt Replacement,30639.87,16.99,high
WO01150,CNV002,QLD001,2024-01-18 10:00:00,2024-01-18 14:00:01,transmission issue,23200.44,4.6,MEDIUM
WO01151,EXC002,WA001,2024-03-27 17:00:00,2024-03-28 18:42:15,ENGINE FAILURE,35181.88,24.29,HIGH
WO01152,EXC001,NSW001,2024-03-27 12:00:00,2024-03-28 01:02:58,Bearing Failure,23577.42,10.51,high
WO01153,EXC003,QLD001,2024-07-25 20:00:00,2024-07-26 00:18:48,Coolant System,22331.87,4.28,Medium
WO01154,TRK001,WA001,2024-09-16 05:00:00,2024-09-17 04:42:07,Engine Failure,"$42,855.79",35.36,LOW
WO01155,TRK007,QLD001,2024-03-15 19:00:00,2024-03-16 14:54:45,tire damage,20120.82,15.88,MEDIUM
WO01156,TRK001,WA001,2024-05-28 08:00:00,2024-05-29 05:10:47,belt replacement,31897.88,18.8,LOW
WO01157,TRK008,QLD001,2024-11-27 06:00:00,2024-11-27 12:36:09,Tire Damage,"$26,441.80",7.69,MEDIUM
WO01158,CRU003,NSW001,2024-01-18 11:00:00,2024-01-19 22:28:49,Hydraulic Leak,7854.16,36.63,LOW
WO01159,TRK001,NSW001,2024-10-27 15:00:00,2024-10-28 10:03:32,COOLANT SYSTEM,7428.67,24.47,Medium
WO01160,TRK015,NSW001,2024-02-27 17:00:00,2024-02-29 10:41:30,Sensor Malfunction,23225.80,58.24,high
WO01161,TRK008,NSW001,2024-08-10 13:00:00,2024-08-11 23:42:42,Sensor Malfunction,14334.81,27.06,HIGH
WO01162,EXC004,QLD001,2024-12-04 16:00:00,2024-12-06 00:41:52,SENSOR MALFUNCTION,"$1,012.71",46.68,HIGH
WO01163,EXC005,QLD001,2024-12-09 04:00:00,2024-12-09 19:55:08,electrical fault,1369.42,13.73,MEDIUM
WO01164,EXC002,WA001,2024-03-22 22:00:00,2024-03-23 17:54:07,Electrical Fault,"$22,642.40",12.28,HIGH
WO01165,EXC002,NSW001,2024-12-09 03:00:00,,Engine Failure,"$1,723.47",28.31,high
WO01166,CRU003,QLD001,2024-06-15 18:00:00,2024-06-16 04:18:56,Bearing Failure,"$195,561.00",14.09,LOW
WO01167,EXC001,NSW001,2024-04-27 06:00:00,2024-04-27 09:20:05,Tire Damage,12679.34,4.95,high
WO01168,TRK003,NSW001,2024-10-17 18:00:00,2024-10-18 11:33:32,Hydraulic Leak,1299.14,13.64,LOW
WO01169,EXC006,WA001,2024-10-20 08:00:00,2024-10-22 06:21:32,Sensor Malfunction,45266.85,52.24,Medium
WO01170,EXC001,WA001,2024-04-02 21:00:00,2024-04-03 03:13:47,brake system,"$15,458.34",4.68,high
WO01171,CNV002,WA001,2024-07-11 07:00:00,2024-07-11 14:11:05,Transmission Issue,"$7,458.96",10.58,LOW
WO01172,EXC006,QLD001,2024-10-28 21:00:00,2024-10-30 14:59:59,BRAKE SYSTEM,47197.70,58.58,MEDIUM
WO01173,CRU003,QLD001,2024-09-12 15:00:00,2024-09-12 20:04:37,Electrical Fault,"$172,838.00",3.24,Medium
WO01174,TRK007,WA001,2024-10-03 19:00:00,2024-10-04 20:58:56,Engine Failure,"$5,405.71",25.36,MEDIUM
WO01175,EXC002,QLD001,2024-12-07 14:00:00,2024-12-09 00:26:34,coolant system,42058.43,42.11,high
WO01176,EXC001,NSW001,2024-12-03 13:00:00,2024-12-05 12:20:16,electrical fault,39019.66,45.91,LOW
WO01177,TRK004,WA001,2024-08-01 01:00:00,2024-08-02 14:53:38,BEARING FAILURE,"$48,908.21",51.38,HIGH
WO01178,EXC002,QLD001,2024-01-18 12:00:00,2024-01-19 01:35:47,BELT REPLACEMENT,555.86,14.74,LOW
WO01179,TRK008,QLD001,2024-09-03 13:00:00,2024-09-05 09:45:41,TIRE DAMAGE,41958.78,64.4,high
WO01180,TRK009,WA001,2024-05-13 13:00:00,2024-05-15 05:59:12,hydraulic leak,2663.53,23.09,MEDIUM
WO01181,TRK009,WA001,2024-03-11 10:00:00,2024-03-12 11:10:00,TRANSMISSION ISSUE,28199.24,13.84,Medium
WO01182,EXC004,QLD001,2024-11-27 04:00:00,2024-11-27 08:30:12,engine failure,12573.79,2.8,LOW
WO01183,TRK006,WA001,2024-12-29 00:00:00,2024-12-30 10:15:03,Bearing Failure,39541.72,39.97,high
WO01184,TRK001,WA001,2024-03-24 16:00:00,2024-03-24 20:53:09,sensor malfunction,1748.21,6.11,high
WO01185,EXC001,QLD001,2024-07-19 15:00:00,2024-07-20 15:19:46,Brake System,40545.22,34.17,Medium
WO01186,TRK008,WA001,2024-06-20 10:00:00,2024-06-20 17:50:24,Coolant System,36085.24,6.4,HIGH
WO01187,TRK003,QLD001,2024-02-08 23:00:00,,COOLANT SYSTEM,"$28,729.41",12.67,MEDIUM
WO01188,EXC005,NSW001,2024-04-08 09:00:00,2024-04-08 17:58:18,HYDRAULIC LEAK,49213.85,9.43,LOW
