"Continent","Country","Year","Life Expectancy","Gender","BMI","Blood Pressure","Cholesterol","Lung Cancer","Liver Cancer","Stomach Cancer","Population","Population Growth"
"Africa","Benin",1994,53.4,"women",22.3,129,4.39,47.3,166,98,2916.76,3.34838037601071
"Asia","Bhutan",1994,55.7,"women",21.3,124,4.48,4.37,2.33,9.99,259.119,-0.0524580046672069
"Europe","Bosnia and Herzegovina",1994,67.5,"women",25.2,133,4.76,256,77.4,202,2002.216,-3.28356017219659
"Africa","Botswana",1994,54.5,"women",24.8,132,4.76,27.7,14.4,15.3,745.513,2.38650471889868
"Americas","Brazil",1994,63.3,"women",24.8,129,4.86,4920,2170,4620,80273.002,1.68155778579771
"Europe","Bulgaria",1994,67.5,"women",25.4,132,5.26,514,296,774,4320.885,-1.05245344234875
"Africa","Burkina Faso",1994,48,"women",20.5,128,4.22,62,281,223,5010.312,2.71200200081179
"Africa","Burundi",1994,46.6,"women",20.4,130,4.27,43.4,109,153,3016.182,1.81620920213112
"Asia","Cambodia",1994,52.5,"women",20.4,116,4.36,260,116,338,5311.997,3.40128519772393
"Africa","Cameroon",1994,49.3,"women",23,125,4.5,152,440,255,6647.063,2.8327389604756
"Americas","Canada",1994,75,"women",25.5,123,5.4,6030,348,1940,14570.313,1.125649355697
"Africa","Central African Republic",1994,45,"women",20.8,129,4.43,46.3,64.2,94.2,1589.884,2.89998491984542
"Africa","Chad",1994,46.1,"women",20.3,126,4.29,47.3,171,119,3412.846,3.2733657077011
"Americas","Chile",1994,72,"women",25.8,128,5.13,575,270,1000,7202.009,1.56404485001695
"Asia","China",1994,68.2,"women",22.3,123,4.28,88300,82700,114000,598914.867,0.920877025709888
"Americas","Colombia",1994,65.1,"women",25.2,124,5.04,1010,655,1940,18177.879,1.96432683211533
"Africa","Comoros",1994,56.9,"women",21.8,129,4.48,2.71,5.96,5.34,230.147,2.85945412046534
"Americas","Costa Rica",1994,74,"women",25.2,123,4.86,59.9,59.9,226,1718.865,2.6063706905969
"Europe","Croatia",1994,69.7,"women",24.6,133,5.23,463,144,561,2402.935,-0.783431582276632
"Americas","Cuba",1994,73.3,"women",25.1,126,4.87,920,309,268,5413.489,0.485527901380484
"Asia","Cyprus",1994,75.1,"women",25.1,127,5.38,23.2,6.85,21.8,414.157,2.35297897369487
"Europe","Denmark",1994,72.8,"women",24.3,125,5.62,1440,121,311,2637.703,0.364251387868936
"Africa","Djibouti",1994,55.4,"women",23.1,129,4.83,2.35,7.38,5.36,309.238,0.61428339027167
"Americas","Dominican Republic",1994,66.8,"women",24.5,128,4.55,167,129,130,3823.572,1.86537878501282
"Americas","Ecuador",1994,68.2,"women",25.9,125,4.87,178,231,687,5575.974,2.26485804724196
"Africa","Egypt",1994,63.9,"women",27.8,125,4.78,667,1110,821,30338.842,1.98187523994303
"Americas","El Salvador",1994,62.4,"women",25.5,121,4.69,86.8,90.5,255,2859.1,1.40522365826322
"Africa","Equatorial Guinea",1994,48.5,"women",21.4,131,4.54,6.29,9,11.9,237.683,3.06976461813324
"Africa","Eritrea",1994,49.9,"women",19.8,122,4.25,14.3,35.9,41.6,1113.456,-0.7912069112993
"Europe","Estonia",1994,62.8,"women",24.8,132,5.49,136,29.1,275,781.858,-1.8721721941577
"Africa","Ethiopia",1994,47.3,"women",19.5,121,4.25,335,842,1110,27669.105,3.54888902519546
"Oceania","Fiji",1994,64.3,"women",26.3,126,4.89,8.49,9.57,10.2,376.452,1.40940682075318
"Europe","Finland",1994,72.4,"women",25.3,132,5.66,491,122,493,2616.715,0.432979687837034
"Europe","France",1994,73.5,"women",24.5,127,5.62,3590,1110,3760,29595.094,0.407654801513078
"Africa","Gabon",1994,59.4,"women",23.6,135,5.05,22.7,32.9,25.3,536.939,2.5655768393224
"Africa","Gambia",1994,52.3,"women",22.2,129,4.41,5.16,42.3,6.47,547.115,3.07055552206414
"Asia","Georgia",1994,66.3,"women",25.6,133,4.97,171,132,314,2682.822,-2.04331557362684
"Europe","Germany",1994,73,"women",25.3,132,5.81,10900,2020,10800,41670.84,0.427885989100491
"Africa","Ghana",1994,56.6,"women",22.3,128,4.34,90.3,402,256,8211.31,2.79264722947908
"Europe","Greece",1994,75,"women",24.5,127,5.16,953,699,780,5357.671,1.00399384286486
"Americas","Grenada",1994,66.9,"women",25.7,125,4.75,2.79,3.23,4.46,50.071,1.03515073247508
"Americas","Guatemala",1994,61.4,"women",24.7,121,4.59,140,211,517,5146.112,2.49234610350347
"Africa","Guinea",1994,51,"women",21.3,130,4.3,56.4,299,149,3685.193,2.73678124261227
"Africa","Guinea-Bissau",1994,48.5,"women",21.8,129,4.29,10.4,39.6,31.8,550.602,2.18018238706587
"Americas","Guyana",1994,60.8,"women",24.7,123,4.46,10,12.8,18.9,385.69,0.591777706489735
"Americas","Haiti",1994,54.3,"women",21.8,124,4.42,210,119,417,3861.779,1.88850142776069
"Americas","Honduras",1994,66.1,"women",24.9,122,4.6,68.3,86.4,211,2792.334,2.85684606875628
"Europe","Hungary",1994,65.3,"women",25.4,132,5.25,1750,400,1070,5404.524,0.0864838197477204
"Europe","Iceland",1994,76.4,"women",25,124,5.85,48,2.61,18,132.115,0.969842410161568
"Asia","India",1994,59.4,"women",20.7,125,4.53,8190,4070,31200,454384.941,1.93943464853554
"Asia","Indonesia",1994,63.2,"women",21.5,126,4.56,2140,2230,5010,96850.504,1.70658882412862
"Asia","Iraq",1994,65.2,"women",27.1,127,4.9,245,153,188,9687.407,3.08277655685216
"Europe","Ireland",1994,72.7,"women",25.5,128,5.51,524,41.1,222,1795.962,0.618401679847434
"Asia","Israel",1994,75.6,"women",25.9,127,5.53,384,74.3,257,2579.798,3.79346540811929
"Europe","Italy",1994,74.5,"women",24.8,129,5.35,6440,3070,8690,29428.747,0.0595860994827002
"Americas","Jamaica",1994,69.5,"women",25.8,126,4.79,72.3,42,103,1268.868,0.882756317754099
"Asia","Japan",1994,76.5,"women",21.8,127,5.2,16800,10800,36600,63997.12,0.301927088909456
"Asia","Jordan",1994,69.4,"women",28.8,125,5.3,37.8,15.9,37.5,2101.791,5.01063450816712
"Asia","Kazakhstan",1994,59.4,"women",25.8,131,5.11,901,498,1590,8253.234,-0.923047373238692
"Africa","Kenya",1994,52.3,"women",22,126,4.49,165,175,513,13541.159,3.15521283464011
"Oceania","Kiribati",1994,59.2,"women",28.1,120,4.57,1.05,1.57,0.85,38.663,1.2305919932972
"Asia","Kuwait",1994,71.9,"women",29.2,129,5.45,15.3,7.08,8.46,700.277,-7.06442400080689
"Europe","Latvia",1994,61.8,"women",25.2,132,5.44,209,48.5,453,1369.02,-1.26500115393492
"Asia","Lebanon",1994,70.2,"women",25.8,131,5,91.8,31.4,90.7,1712.423,4.69187413911898
"Africa","Lesotho",1994,56.2,"women",25.8,128,4.3,25.8,21.7,30.1,963.732,0.964563526361279
"Africa","Liberia",1994,47.7,"women",22.1,129,4.32,11.3,74,44.1,998.98,0.481394979249529
"Africa","Libya",1994,68.2,"women",27.8,133,5.03,38.8,40.1,41.1,2308.622,2.23252341348689
"Europe","Lithuania",1994,64.1,"women",25.9,133,5.67,231,55.1,507,1927.666,-0.487889993221887
"Europe","Luxembourg",1994,72.6,"women",25.2,129,5.78,48.3,12.6,39.9,204.967,1.36894841220778
"Africa","Madagascar",1994,52.6,"women",20.5,129,4.44,69.9,158,158,6552.515,3.12136361304327
"Africa","Malawi",1994,44.5,"women",21.4,128,4.33,46.9,74.2,57.6,4910.802,0.348464949877893
"Asia","Malaysia",1994,69.7,"women",23.9,125,4.97,619,234,338,9808.204,2.53667402745077
"Asia","Maldives",1994,64.6,"women",24.3,123,4.69,1.49,1.07,2.49,122.512,2.71561879050582
"Africa","Mali",1994,45.8,"women",20.7,126,4.29,65,449,380,4721.311,2.65897720907739
"Europe","Malta",1994,75.1,"women",26.4,130,5.54,14.7,3.98,17.5,189.343,0.741690564993683
"Africa","Mauritania",1994,57.8,"women",24.4,128,4.52,22.6,71.8,42.6,1137.885,2.62532738803869
"Africa","Mauritius",1994,66.6,"women",24.7,131,4.94,22.5,12.7,32.7,558.404,1.44684252597921
"Americas","Mexico",1994,69.8,"women",26.9,124,4.87,1850,1860,2460,45780.964,1.86608598731769
"Asia","Mongolia",1994,58.5,"women",24.9,129,5.02,93,193,244,1151.964,0.678464710308759
"Europe","Montenegro",1994,71.2,"women",25.4,132,5.18,66.3,16,16.3,311.695,0.286998516745333
"Africa","Morocco",1994,64.8,"women",24.9,127,4.79,235,92.1,418,13351.349,1.7149154232608
"Africa","Mozambique",1994,43.1,"women",21.5,131,4.43,83.4,412,304,7825.134,3.97551720788595
"Asia","Myanmar",1994,57.9,"women",20.7,119,4.3,647,652,1710,22274.421,1.17581388689698
"Africa","Namibia",1994,57.7,"women",23.5,132,4.64,11.3,4.62,9.56,823.978,2.34467476751364
"Asia","Nepal",1994,56.8,"women",19.5,123,4.4,300,96.5,584,10421.121,2.33506040359668
"Europe","Netherlands",1994,74.4,"women",24.6,127,5.55,1890,180,1340,7759.089,0.633808032221131
"Oceania","New Zealand",1994,73.9,"women",25.8,124,5.71,529,37.5,216,1837.805,1.60972858809415
"Americas","Nicaragua",1994,64.3,"women",25.7,123,4.63,36.3,67.9,102,2300.465,2.18121684778698
"Africa","Niger",1994,45.3,"women",20.8,130,4.24,60.6,224,147,4661.401,3.32193217779064
"Africa","Nigeria",1994,44.7,"women",22.7,133,4.19,648,3460,1030,52295.001,2.50918647538963
"Europe","Norway",1994,74.6,"women",24.7,131,5.59,602,44,344,2194.901,0.56893887881881
"Asia","Oman",1994,67.5,"women",26,130,5.14,9.83,10,23.8,878.487,2.11664136476813
"Asia","Pakistan",1994,60.5,"women",22.6,125,4.65,1030,1070,1350,58111.947,2.86146730905344
"Americas","Panama",1994,71.3,"women",25.7,124,4.91,53.4,35.3,80.9,1329.519,2.1098300523483
"Oceania","Papua New Guinea",1994,57.5,"women",23.5,116,4.6,84.6,51.1,116,2490.701,2.37568041142619
"Americas","Paraguay",1994,66.5,"women",24.6,125,4.88,82.2,42.2,101,2301.197,2.4099661599862
"Americas","Peru",1994,65.1,"women",25.5,122,4.86,696,523,1450,11976.517,1.85381071249006
"Asia","Philippines",1994,63.3,"women",22.4,122,4.76,1560,645,791,33777.769,2.415889034242
"Europe","Poland",1994,67.1,"women",25.6,132,5.27,4010,847,2370,19712.311,0.253625668673313
"Europe","Portugal",1994,71.5,"women",25.5,132,5.33,550,230,1420,5207.311,0.464691384225059
"Asia","Qatar",1994,74.7,"women",27.5,131,5.32,2.99,3.41,4.26,171.586,1.83508018089666
"Europe","Romania",1994,65.9,"women",25,131,5.15,1280,454,1320,11748.169,-0.532930255351017
"Africa","Rwanda",1994,27.5,"women",21.1,131,4.33,36.7,93.6,115,3042.588,-4.90750588587542
"Oceania","Samoa",1994,63.8,"women",30.2,123,4.63,1.45,1.01,2.61,80.917,1.03511137748478
"Africa","Sao Tome and Principe",1994,60.6,"women",23,133,4.44,1.91,0.57,4.43,65.386,1.81404836424221
"Asia","Saudi Arabia",1994,68.9,"women",27.8,129,5.17,148,267,128,8076.609,2.92318808444264
"Africa","Senegal",1994,55.9,"women",22.7,129,4.45,60.6,225,142,4258.92,2.93365210575659
"Europe","Serbia",1994,68.9,"women",25.7,133,5.01,825,285,469,4999.654,0.715066022287375
"Africa","Seychelles",1994,66,"women",26.3,131,5.33,1.81,0.65,1.62,37.686,1.74680741920678
"Africa","Sierra Leone",1994,35,"women",22.4,133,4.32,24.3,115,71.2,2177.639,-0.488864375093958
"Asia","Singapore",1994,75,"women",23.5,126,4.72,248,76.2,155,1686.056,3.05014634957287
"Europe","Slovenia",1994,70.2,"women",26.1,133,5.35,165,36.7,207,1027.318,-0.250897658223798
"Oceania","Solomon Islands",1994,58.8,"women",26.4,121,4.65,5.51,3.76,7,169.904,2.8711204756542
"Africa","Somalia",1994,44.9,"women",21.7,129,4.45,37,101,119,3674.352,0.805903576346298
"Africa","South Africa",1994,58.2,"women",27.7,131,4.59,1250,567,610,20519.403,2.47643098366152
"Europe","Spain",1994,74.3,"women",25.7,126,5.32,1820,1420,3620,20243.586,0.319836725680693
"Asia","Sri Lanka",1994,66.2,"women",22.1,123,4.57,212,78,353,8996.162,1.05237026781878
"Africa","Sudan",1994,54.8,"women",21.7,127,4.53,344,254,514,11633.279,3.59629847806235
"Americas","Suriname",1994,64.5,"women",25.9,125,4.78,11.5,8.77,9.02,214.004,1.67378528228201
"Europe","Sweden",1994,75.9,"women",24.8,128,5.59,1090,256,633,4451.175,0.585615308479049
"Europe","Switzerland",1994,74.9,"women",24,125,5.61,772,128,532,3549.917,1.00679094491359
"Asia","Tajikistan",1994,59,"women",24,129,4.75,74.6,69.4,255,2849.18,1.3877032207511
"Asia","Thailand",1994,66.7,"women",23.1,120,4.92,4170,3090,1240,29635.567,0.852319364989993
"Asia","Timor-Leste",1994,51.2,"women",20.7,120,4.39,13.1,6.74,17.8,410.13,2.61176759046364
"Africa","Togo",1994,54.3,"women",21.3,129,4.31,36.8,113,73.5,2093.087,2.31211866734839
"Oceania","Tonga",1994,68.5,"women",30.9,123,4.75,3.82,3.48,3.28,47.188,0.199600798403196
"Americas","Trinidad and Tobago",1994,65.3,"women",26.8,124,4.78,25.4,24.3,35,626.855,0.488934843420631
"Africa","Tunisia",1994,68.8,"women",26.2,130,4.74,87,34.3,132,4439.365,1.90893088667943
"Asia","Turkey",1994,62.6,"women",27.4,128,4.92,1780,590,2550,29173.456,1.64150219701851
"Asia","Turkmenistan",1994,58.8,"women",24.1,130,4.91,61.4,49,150,2089.454,2.57430603112889
"Africa","Uganda",1994,41.4,"women",21.3,130,4.3,126,312,298,10004.599,3.32966199672926
"Europe","Ukraine",1994,63,"women",26.1,133,5.26,5060,774,9190,27305.141,-0.351852307354541
"Asia","United Arab Emirates",1994,71.8,"women",28.1,127,5.42,9.86,7.44,13.2,774.363,5.08243883242188
"Europe","United Kingdom",1994,73.8,"women",25.6,131,5.69,14800,909,4730,29682.639,0.271665435903111
"Americas","United States",1994,72.6,"women",26.8,121,5.46,78000,4350,10500,133477.775,0.981080688519365
"Americas","Uruguay",1994,69.6,"women",24.8,126,5.14,200,27.3,242,1650.286,0.747662296196859
"Asia","Uzbekistan",1994,63.2,"women",24.6,125,4.76,452,268,859,11237.417,2.06498401779972
"Oceania","Vanuatu",1994,63.5,"women",25.6,129,4.7,2.98,1.59,3.06,79.895,2.77470477758625
"Asia","Yemen",1994,57.5,"women",24.8,125,4.66,169,116,335,7091.803,4.39446364235218
"Africa","Zambia",1994,41.2,"women",22,128,4.54,44.2,137,138,4461.643,2.54062307950775
"Africa","Zimbabwe",1994,49.5,"women",24.7,131,4.48,179,315,243,5685.647,1.67302386048865
"Asia","Afghanistan",1995,52,"women",20.6,124,4.43,264,158,594,8718.035,5.96836009941392
"Europe","Albania",1995,69.3,"women",24.9,129,4.93,113,90,107,1579.417,-0.655163152356264
"Africa","Algeria",1995,66.6,"women",25.1,131,4.91,189,107,307,14194.153,1.91640116200965
"Africa","Angola",1995,40.9,"women",21.3,130,4.56,145,192,238,6984.738,3.34557793799123
"Americas","Antigua and Barbuda",1995,69.8,"women",26.2,126,4.99,1.62,1.66,2.57,35.885,2.5461507687032
"Americas","Argentina",1995,69.1,"women",25.7,121,5.22,1880,728,1580,17883.6,1.26195236550244
"Asia","Armenia",1995,65.4,"women",25.9,133,4.94,135,125,205,1693.335,-1.62704448041122
"Oceania","Australia",1995,75.4,"women",25.5,124,5.48,2360,153,822,9042.047,1.09918234420751
"Europe","Austria",1995,73.4,"women",24.5,129,5.54,1020,242,989,4133.617,0.385331795276551
"Asia","Azerbaijan",1995,61.1,"women",26.4,130,4.88,181,188,463,3978.087,1.2050464037123
"Americas","Bahamas",1995,68,"women",27.6,127,5.27,7.28,4.91,8.99,141.746,1.74788781933947
"Asia","Bahrain",1995,72.6,"women",26.9,135,5.24,13.7,4.48,7.37,238.801,2.81092856650823
"Asia","Bangladesh",1995,61.6,"women",19,124,4.44,2720,472,2380,55876.132,2.19776995906245
"Americas","Barbados",1995,70,"women",27.8,127,5.03,8.52,9.33,17,137.999,0.430105961807179
"Europe","Belarus",1995,62.8,"women",26,131,5.31,565,136,1890,5352.753,-0.302459009065398
"Europe","Belgium",1995,73.6,"women",25.1,128,5.65,1170,271,877,5200.485,0.294665245700933
"Americas","Belize",1995,67.1,"women",27.8,121,4.81,3.34,5.28,4.91,102.721,2.64196568642146
"Africa","Benin",1995,53.5,"women",22.4,129,4.37,48.7,172,100,3010.794,3.22391969171271
"Asia","Bhutan",1995,56.4,"women",21.4,124,4.48,4.36,2.32,9.76,260.708,0.613231758381284
"Europe","Bosnia and Herzegovina",1995,68.2,"women",25.2,133,4.73,257,77.6,201,1950.642,-2.57584596267335
"Africa","Botswana",1995,52.8,"women",24.9,132,4.75,28.7,15,16.1,762.874,2.32873202747638
"Americas","Brazil",1995,63.8,"women",24.9,128,4.87,5190,2230,4720,81604.53,1.65874947594461
"Europe","Bulgaria",1995,67.5,"women",25.4,131,5.24,531,292,778,4277.334,-1.00791851669277
"Africa","Burkina Faso",1995,48,"women",20.6,128,4.2,63.5,289,221,5147.239,2.73290365949266
"Africa","Burundi",1995,47.2,"women",20.4,130,4.26,44.1,111,156,3061.896,1.51562472025894
"Asia","Cambodia",1995,52.9,"women",20.5,117,4.36,273,121,346,5482.787,3.21517500857022
"Africa","Cameroon",1995,48.9,"women",23,125,4.47,154,452,257,6831.6,2.77621860963256
"Americas","Canada",1995,75.2,"women",25.6,123,5.39,6360,366,1920,14726.014,1.06861808665331
"Africa","Central African Republic",1995,44.5,"women",20.9,129,4.41,47.6,65.9,96.4,1634.152,2.78435407866234
"Africa","Chad",1995,46.2,"women",20.4,126,4.27,48.3,177,120,3526.94,3.34307495855365
"Americas","Chile",1995,72.3,"women",26,128,5.14,602,279,1020,7309.593,1.49380540901851
"Asia","China",1995,68.4,"women",22.3,123,4.3,91400,85200,116000,604233.674,0.888073963941194
"Americas","Colombia",1995,65.4,"women",25.3,124,5.05,1060,670,1940,18525.387,1.91170818113597
"Africa","Comoros",1995,57.2,"women",21.8,129,4.47,2.79,6.12,5.46,236.593,2.80081860723798
"Americas","Costa Rica",1995,74.2,"women",25.4,123,4.87,63.3,63.3,232,1762.669,2.54842585077944
"Europe","Croatia",1995,70,"women",24.6,133,5.21,470,162,549,2383.567,-0.806014311664691
"Americas","Cuba",1995,73.5,"women",25.1,126,4.84,944,312,269,5440.807,0.504628345970597
"Asia","Cyprus",1995,75.3,"women",25.2,127,5.37,24.3,7,22,423.598,2.27957030787842
"Europe","Denmark",1995,73.1,"women",24.4,125,5.6,1500,122,303,2647.647,0.376994680598989
"Africa","Djibouti",1995,55.4,"women",23.2,129,4.81,2.39,7.61,5.56,313.216,1.28638783073232
"Americas","Dominican Republic",1995,67,"women",24.7,127,4.55,178,143,138,3893.047,1.81701822275087
"Americas","Ecuador",1995,68.5,"women",26,125,4.87,200,241,724,5699.916,2.22278654814388
"Africa","Egypt",1995,64.4,"women",27.9,125,4.78,688,1140,810,30945.13,1.99838873217376
"Americas","El Salvador",1995,62.9,"women",25.7,121,4.69,90.4,96.3,264,2896.649,1.31331537896541
"Africa","Equatorial Guinea",1995,49,"women",21.5,131,4.54,6.49,9.17,12.1,245.253,3.18491436072416
"Africa","Eritrea",1995,50.6,"women",19.9,122,4.25,14.4,35.6,40.7,1107.243,-0.557992412811999
"Europe","Estonia",1995,62.8,"women",24.7,131,5.46,133,29.8,252,769.792,-1.54324698346758
"Africa","Ethiopia",1995,47.8,"women",19.6,122,4.24,346,868,1140,28607.127,3.39014218204745
"Oceania","Fiji",1995,64.5,"women",26.5,126,4.91,8.72,9.77,10.5,381.311,1.2907356050705
"Europe","Finland",1995,72.7,"women",25.3,132,5.62,498,124,475,2626.386,0.369585529948803
"Europe","France",1995,73.8,"women",24.5,126,5.59,3790,1150,3750,29714.606,0.403823687804468
"Africa","Gabon",1995,59.2,"women",23.7,135,5.03,23.2,33.3,25.3,550.333,2.49451054961551
"Africa","Gambia",1995,52.7,"women",22.3,129,4.39,5.28,44.7,6.55,564.183,3.11963663946336
"Asia","Georgia",1995,66.5,"women",25.5,132,4.91,163,129,287,2620.826,-2.3108502912232
"Europe","Germany",1995,73.2,"women",25.4,131,5.8,11500,2160,10300,41796.115,0.30062988891033
"Africa","Ghana",1995,56.5,"women",22.4,129,4.33,93.6,417,260,8433.356,2.70414830276777
"Europe","Greece",1995,75.2,"women",24.5,127,5.13,980,694,783,5406.04,0.902798996056303
"Americas","Grenada",1995,67.1,"women",25.8,125,4.75,2.89,3.27,4.34,50.513,0.882746499970043
"Americas","Guatemala",1995,62,"women",24.9,121,4.58,142,224,532,5272.719,2.46024571560044
"Africa","Guinea",1995,51.2,"women",21.4,130,4.29,59.1,312,153,3786.004,2.73556907331583
"Africa","Guinea-Bissau",1995,49,"women",21.9,129,4.27,10.6,40.7,31.4,562.164,2.09988340035089
"Americas","Guyana",1995,61,"women",24.8,123,4.46,10.7,13.2,19.1,386.515,0.213902356815056
"Americas","Haiti",1995,54.6,"women",21.9,124,4.41,212,120,410,3933.594,1.85963515778609
"Americas","Honduras",1995,66.6,"women",25,122,4.6,71.5,89.3,219,2872.565,2.87325943099931
"Europe","Hungary",1995,65.5,"women",25.4,131,5.24,1850,406,1060,5405.297,0.0143028322198075
"Europe","Iceland",1995,76.5,"women",25.1,123,5.82,50.5,2.73,17.6,133.4,0.972637474927144
"Asia","India",1995,59.8,"women",20.7,125,4.53,8430,4230,31600,463091.988,1.91622701686322
"Asia","Indonesia",1995,63.5,"women",21.6,126,4.56,2210,2310,5090,98424.427,1.62510563703416
"Asia","Iraq",1995,65.7,"women",27.1,127,4.88,254,158,195,9989.649,3.1199473708496
"Europe","Ireland",1995,72.9,"women",25.5,128,5.5,537,41.6,224,1808.462,0.696005817495025
"Asia","Israel",1995,75.8,"women",26,127,5.5,407,77.8,263,2667.878,3.41422080333423
"Europe","Italy",1995,74.8,"women",24.8,129,5.34,6660,3170,8680,29422.024,-0.0228450093372923
"Americas","Jamaica",1995,69.4,"women",25.9,125,4.78,73.9,42.2,100,1279.925,0.871406639618937
"Asia","Japan",1995,76.6,"women",21.8,126,5.21,17600,11400,36600,64175.881,0.279326632198447
"Asia","Jordan",1995,69.6,"women",28.9,125,5.3,40.1,16.7,39.5,2188.915,4.14522661863143
"Asia","Kazakhstan",1995,58.7,"women",25.7,131,5.07,901,501,1570,8166.263,-1.05378085729788
"Africa","Kenya",1995,51.5,"women",22.1,126,4.48,171,181,526,13957.708,3.07616947707357
"Oceania","Kiribati",1995,59.6,"women",28.3,120,4.58,1.07,1.6,0.87,39.196,1.37857900318134
"Asia","Kuwait",1995,72,"women",29.4,129,5.46,14.8,7.05,9.18,673.398,-3.83833825757522
"Europe","Latvia",1995,61.8,"women",25.1,131,5.41,203,50.2,430,1352.74,-1.18917181633577
"Asia","Lebanon",1995,70.6,"women",26,130,5,94.6,32.3,92.6,1773.884,3.58912488327942
"Africa","Lesotho",1995,55,"women",25.9,128,4.29,26.5,22.2,30,975.953,1.26809112906908
"Africa","Liberia",1995,48.9,"women",22.1,129,4.29,11.2,76.3,45,1027.928,2.89775571082505
"Africa","Libya",1995,68.3,"women",27.9,133,5,40.4,41.7,42.6,2356.98,2.09466946082989
"Europe","Lithuania",1995,64,"women",25.8,133,5.62,233,58,499,1917.783,-0.512692551510481
"Europe","Luxembourg",1995,72.9,"women",25.3,128,5.75,49.4,12.8,39.1,207.758,1.36168261232296
"Africa","Madagascar",1995,53.4,"women",20.5,129,4.43,72.2,163,164,6759.635,3.16092370639365
"Africa","Malawi",1995,44.5,"women",21.5,128,4.33,47.9,75.1,59.1,4961.606,1.03453570312955
"Asia","Malaysia",1995,69.9,"women",24,125,4.98,644,243,341,10059.201,2.55905158579491
"Asia","Maldives",1995,65.3,"women",24.4,123,4.7,1.54,1.1,2.47,125.515,2.45118845500849
"Africa","Mali",1995,45.8,"women",20.8,126,4.27,63.5,440,432,4845.19,2.6238263058714
"Europe","Malta",1995,75.3,"women",26.4,130,5.51,14.7,4.02,16.9,190.793,0.765805971174016
"Africa","Mauritania",1995,57.9,"women",24.5,128,4.5,23.1,74.8,42.5,1167.193,2.5756557121326
"Africa","Mauritius",1995,66.7,"women",24.9,131,4.94,22.7,13.5,31.8,566.027,1.36514065085495
"Americas","Mexico",1995,70.2,"women",27,124,4.87,1910,1930,2550,46592.412,1.77245721606036
"Asia","Mongolia",1995,58.8,"women",24.9,129,5,96.4,195,255,1159.562,0.659569222649315
"Europe","Montenegro",1995,71.1,"women",25.4,131,5.16,67.1,16.4,16.8,312.157,0.148221819406788
"Africa","Morocco",1995,65.1,"women",25,127,4.79,244,95.7,420,13567.176,1.6165183008848
"Africa","Mozambique",1995,43.7,"women",21.6,131,4.42,86.6,426,310,8102.009,3.53827806654813
"Asia","Myanmar",1995,58.3,"women",20.8,120,4.31,663,673,1720,22550.331,1.23868539613218
"Africa","Namibia",1995,57.1,"women",23.6,132,4.63,11.6,4.77,10,842.565,2.25576411020684
"Asia","Nepal",1995,57.6,"women",19.6,124,4.39,307,99.7,588,10672.917,2.41620839063283
"Europe","Netherlands",1995,74.6,"women",24.6,127,5.53,2070,190,1300,7807.345,0.621928682606944
"Oceania","New Zealand",1995,74.2,"women",25.9,124,5.67,550,40.1,213,1863.986,1.42457986565495
"Americas","Nicaragua",1995,64.9,"women",25.9,123,4.62,38,70.8,106,2347.951,2.06419137000562
"Africa","Niger",1995,46,"women",20.9,130,4.22,62.8,234,151,4818.228,3.36437478775158
"Africa","Nigeria",1995,44.7,"women",22.8,133,4.17,653,3610,1070,53603.143,2.50146663158109
"Europe","Norway",1995,74.9,"women",24.7,130,5.56,634,44.2,336,2207.392,0.569091726688356
"Asia","Oman",1995,68,"women",26.1,130,5.14,10,10.1,23.8,897.022,2.10987755083457
"Asia","Pakistan",1995,60.8,"women",22.7,126,4.65,1080,1110,1430,59791.901,2.89089264209302
"Americas","Panama",1995,71.5,"women",25.8,124,4.91,56,35.7,85,1357.465,2.10196319119922
"Oceania","Papua New Guinea",1995,57.8,"women",23.7,116,4.62,89.1,53.2,120,2550.712,2.4094020117228
"Americas","Paraguay",1995,66.7,"women",24.7,125,4.88,84.6,44.1,105,2355.386,2.35481794909344
"Americas","Peru",1995,65.6,"women",25.6,122,4.85,737,547,1480,12197.179,1.84245553193804
"Asia","Philippines",1995,63.5,"women",22.4,122,4.77,1650,809,797,34582.833,2.38341377726871
"Europe","Poland",1995,67.5,"women",25.6,131,5.26,4210,839,2330,19753.074,0.206789554000031
"Europe","Portugal",1995,71.7,"women",25.6,132,5.32,563,231,1430,5230.347,0.442378033499441
"Asia","Qatar",1995,74.8,"women",27.6,131,5.31,3.23,3.59,4.46,175.104,2.0502838226895
"Europe","Romania",1995,65.9,"women",25,131,5.13,1340,477,1350,11680.569,-0.575408814769351
"Africa","Rwanda",1995,30.7,"women",21.1,131,4.32,37,94,115,2998.214,-1.45842946859714
"Oceania","Samoa",1995,64.3,"women",30.4,123,4.62,1.48,1.03,2.66,81.607,0.852725632438175
"Africa","Sao Tome and Principe",1995,60.8,"women",23.1,133,4.42,1.97,0.59,4.59,66.519,1.73278683510233
"Asia","Saudi Arabia",1995,69.2,"women",27.9,129,5.16,154,279,135,8303.248,2.8061157844833
"Africa","Senegal",1995,55.9,"women",22.8,129,4.43,61.9,234,140,4379.541,2.83219689498746
"Europe","Serbia",1995,68.9,"women",25.6,133,5,851,294,495,5013.592,0.278779291526957
"Africa","Seychelles",1995,66.2,"women",26.4,131,5.34,1.89,0.73,1.56,38.271,1.55230058907817
"Africa","Sierra Leone",1995,35,"women",22.5,133,4.29,23.8,115,70.5,2173.72,-0.179965549845513
