Year,Continent,Sub Region,Country,GDP per Capita,GDP per Capita (Grouped),Life Expectancy,Life Expectancy (Grouped),C02 Emissions per Person (Tonnes),Child Mortality Rate (per 1000 births)
1998,Africa,Eastern Africa,Seychelles,18400,>= 5000 and <20000,70.8,>60,5.46,13.9
1999,Africa,Eastern Africa,Comoros,1370,<5000,61.3,>60,0.173,103
1999,Africa,Eastern Africa,Djibouti,2180,<5000,61.3,>60,0.45,102
1999,Africa,Eastern Africa,Mauritius,10300,>= 5000 and <20000,71.3,>60,2.06,20.2
1999,Africa,Eastern Africa,Seychelles,18300,>= 5000 and <20000,71,>60,6.37,13.8
2000,Africa,Eastern Africa,Comoros,1480,<5000,61.5,>60,0.189,103
2000,Africa,Eastern Africa,Djibouti,2130,<5000,61.4,>60,0.475,100
2000,Africa,Eastern Africa,Mauritius,11100,>= 5000 and <20000,71.5,>60,2.27,18.5
2000,Africa,Eastern Africa,Seychelles,18500,>= 5000 and <20000,71.2,>60,7.05,13.8
2001,Africa,Eastern Africa,Comoros,1480,<5000,62.4,>60,0.185,103
2001,Africa,Eastern Africa,Djibouti,2130,<5000,61.5,>60,0.5,98
2001,Africa,Eastern Africa,Mauritius,11300,>= 5000 and <20000,71.7,>60,2.4,17.1
2001,Africa,Eastern Africa,Seychelles,18000,>= 5000 and <20000,71.3,>60,7.68,13.8
2002,Africa,Eastern Africa,Comoros,1480,<5000,62.7,>60,0.18,103
2002,Africa,Eastern Africa,Djibouti,2150,<5000,61.6,>60,0.536,95.7
2002,Africa,Eastern Africa,Mauritius,11400,>= 5000 and <20000,71.8,>60,2.4,16.1
2002,Africa,Eastern Africa,Seychelles,17700,>= 5000 and <20000,71.5,>60,6.4,13.9
2003,Africa,Eastern Africa,Comoros,1470,<5000,63.5,>60,0.226,103
2003,Africa,Eastern Africa,Djibouti,2180,<5000,61.7,>60,0.556,93.4
2003,Africa,Eastern Africa,Mauritius,11800,>= 5000 and <20000,72,>60,2.53,15.6
2003,Africa,Eastern Africa,Seychelles,16800,>= 5000 and <20000,71.6,>60,6.4,14
2004,Africa,Eastern Africa,Comoros,1470,<5000,64,>60,0.239,102
2004,Africa,Eastern Africa,Djibouti,2230,<5000,61.7,>60,0.528,91
2004,Africa,Eastern Africa,Eritrea,1630,<5000,60.3,>60,0.2,72.7
2004,Africa,Eastern Africa,Mauritius,12400,>= 5000 and <20000,72.2,>60,2.54,15.5
2004,Africa,Eastern Africa,Seychelles,16400,>= 5000 and <20000,71.8,>60,8.43,14.1
2005,Africa,Eastern Africa,Comoros,1470,<5000,64.3,>60,0.228,100
2005,Africa,Eastern Africa,Djibouti,2260,<5000,62,>60,0.529,88.5
2005,Africa,Eastern Africa,Eritrea,1630,<5000,60.5,>60,0.193,69.2
2005,Africa,Eastern Africa,Madagascar,1390,<5000,60.1,>60,0.095,82
2005,Africa,Eastern Africa,Mauritius,12400,>= 5000 and <20000,72.4,>60,2.7,15.7
2005,Africa,Eastern Africa,Seychelles,17800,>= 5000 and <20000,72.1,>60,7.77,14.1
2006,Africa,Eastern Africa,Comoros,1480,<5000,64.5,>60,0.258,98
2006,Africa,Eastern Africa,Djibouti,2330,<5000,61.9,>60,0.516,86.1
2006,Africa,Eastern Africa,Eritrea,1570,<5000,60.8,>60,0.138,65.9
2006,Africa,Eastern Africa,Madagascar,1420,<5000,60.4,>60,0.0891,77.8
2006,Africa,Eastern Africa,Mauritius,13400,>= 5000 and <20000,72.5,>60,2.96,16
2006,Africa,Eastern Africa,Seychelles,19100,>= 5000 and <20000,72.4,>60,8.18,14.1
2007,Africa,Eastern Africa,Comoros,1450,<5000,64.7,>60,0.16,95.9
2007,Africa,Eastern Africa,Djibouti,2410,<5000,62.5,>60,0.571,83.7
2007,Africa,Eastern Africa,Eritrea,1560,<5000,61,>60,0.14,62.9
2007,Africa,Eastern Africa,Madagascar,1460,<5000,60.6,>60,0.0934,73.7
2007,Africa,Eastern Africa,Mauritius,14100,>= 5000 and <20000,72.8,>60,2.99,16.1
2007,Africa,Eastern Africa,Rwanda,1160,<5000,61.1,>60,0.059,89.5
2007,Africa,Eastern Africa,Seychelles,21000,>= 20000 and <40000,72.7,>60,7.11,14.2
2008,Africa,Eastern Africa,Comoros,1420,<5000,65.3,>60,0.162,93.4
2008,Africa,Eastern Africa,Djibouti,2510,<5000,62.9,>60,0.606,81.2
2008,Africa,Eastern Africa,Eritrea,1380,<5000,61.2,>60,0.0979,60
2008,Africa,Eastern Africa,Kenya,2340,<5000,60.6,>60,0.262,67.9
2008,Africa,Eastern Africa,Madagascar,1520,<5000,60.8,>60,0.0944,69.8
2008,Africa,Eastern Africa,Mauritius,14900,>= 5000 and <20000,73,>60,3.04,15.8
2008,Africa,Eastern Africa,Rwanda,1250,<5000,62.5,>60,0.0559,79.6
2008,Africa,Eastern Africa,Seychelles,20100,>= 20000 and <40000,73.1,>60,7.64,14.2
2009,Africa,Eastern Africa,Comoros,1420,<5000,64.9,>60,0.196,90.8
2009,Africa,Eastern Africa,Djibouti,2590,<5000,63.3,>60,0.552,78.9
2009,Africa,Eastern Africa,Eritrea,1410,<5000,61.5,>60,0.119,57.4
2009,Africa,Eastern Africa,Ethiopia,980,<5000,60.4,>60,0.0776,85.9
2009,Africa,Eastern Africa,Kenya,2350,<5000,61.7,>60,0.307,64.6
2009,Africa,Eastern Africa,Madagascar,1420,<5000,60.8,>60,0.0861,65.9
2009,Africa,Eastern Africa,Mauritius,15300,>= 5000 and <20000,73.2,>60,2.98,15.4
2009,Africa,Eastern Africa,Rwanda,1300,<5000,63.3,>60,0.0577,71.2
2009,Africa,Eastern Africa,Seychelles,19800,>= 5000 and <20000,73.2,>60,5.76,14.3
2010,Africa,Eastern Africa,Comoros,1410,<5000,65.9,>60,0.234,88.2
2010,Africa,Eastern Africa,Djibouti,2640,<5000,63.7,>60,0.607,76.5
2010,Africa,Eastern Africa,Eritrea,1420,<5000,61.7,>60,0.117,55.2
2010,Africa,Eastern Africa,Ethiopia,1070,<5000,61.3,>60,0.0751,80.9
2010,Africa,Eastern Africa,Kenya,2480,<5000,62.8,>60,0.294,62.2
2010,Africa,Eastern Africa,Madagascar,1390,<5000,60.8,>60,0.0926,62.2
2010,Africa,Eastern Africa,Mauritius,15900,>= 5000 and <20000,73.4,>60,3.14,15
2010,Africa,Eastern Africa,Rwanda,1350,<5000,64.6,>60,0.0576,63.6
2010,Africa,Eastern Africa,Seychelles,20400,>= 20000 and <40000,73.4,>60,4.85,14.4
2011,Africa,Eastern Africa,Comoros,1420,<5000,65.6,>60,0.192,85.5
2011,Africa,Eastern Africa,Djibouti,2710,<5000,64.2,>60,0.546,74.4
2011,Africa,Eastern Africa,Eritrea,1510,<5000,62,>60,0.133,53.1
2011,Africa,Eastern Africa,Ethiopia,1160,<5000,62.2,>60,0.0858,76.2
2011,Africa,Eastern Africa,Kenya,2560,<5000,63.8,>60,0.317,59.8
2011,Africa,Eastern Africa,Madagascar,1370,<5000,61.1,>60,0.108,58.7
2011,Africa,Eastern Africa,Mauritius,16600,>= 5000 and <20000,73.8,>60,3.13,14.9
2011,Africa,Eastern Africa,Rwanda,1420,<5000,65.3,>60,0.0631,56.6
2011,Africa,Eastern Africa,Seychelles,22600,>= 20000 and <40000,73.5,>60,3.71,14.5
2012,Africa,Eastern Africa,Comoros,1420,<5000,66.2,>60,0.198,83.2
2012,Africa,Eastern Africa,Djibouti,2790,<5000,64.6,>60,0.587,72.2
2012,Africa,Eastern Africa,Eritrea,1180,<5000,62.3,>60,0.145,51.1
2012,Africa,Eastern Africa,Ethiopia,1230,<5000,63.1,>60,0.0926,72
2012,Africa,Eastern Africa,Kenya,2600,<5000,64.6,>60,0.287,57.8
2012,Africa,Eastern Africa,Madagascar,1370,<5000,61.4,>60,0.121,55.6
2012,Africa,Eastern Africa,Mauritius,17100,>= 5000 and <20000,74,>60,3.17,14.8
2012,Africa,Eastern Africa,Rwanda,1510,<5000,66,>60,0.0683,50.9
2012,Africa,Eastern Africa,Seychelles,23800,>= 20000 and <40000,73.6,>60,4.77,14.6
2013,Africa,Eastern Africa,Comoros,1440,<5000,66.5,>60,0.237,80.8
2013,Africa,Eastern Africa,Djibouti,2880,<5000,65.1,>60,0.679,70.2
2013,Africa,Eastern Africa,Eritrea,1160,<5000,62.6,>60,0.143,49.3
2013,Africa,Eastern Africa,Ethiopia,1330,<5000,63.9,>60,0.112,68
2013,Africa,Eastern Africa,Kenya,2680,<5000,65.2,>60,0.297,55.8
2013,Africa,Eastern Africa,Madagascar,1360,<5000,61.7,>60,0.136,52.8
2013,Africa,Eastern Africa,Mauritius,17600,>= 5000 and <20000,74.2,>60,3.24,14.8
2013,Africa,Eastern Africa,Rwanda,1540,<5000,66.5,>60,0.0726,46.8
2013,Africa,Eastern Africa,Seychelles,24800,>= 20000 and <40000,73.7,>60,4.35,14.6
2014,Africa,Eastern Africa,Comoros,1430,<5000,67,>60,0.203,78.3
2014,Africa,Eastern Africa,Djibouti,3000,<5000,65.6,>60,0.792,68.2
2014,Africa,Eastern Africa,Eritrea,1200,<5000,63,>60,0.147,47.6
2014,Africa,Eastern Africa,Ethiopia,1430,<5000,64.6,>60,0.119,64.4
2014,Africa,Eastern Africa,Kenya,2750,<5000,65.8,>60,0.31,53.5
2014,Africa,Eastern Africa,Madagascar,1370,<5000,62,>60,0.13,50.5
2014,Africa,Eastern Africa,Mauritius,18300,>= 5000 and <20000,74.3,>60,3.36,14.7
2014,Africa,Eastern Africa,Rwanda,1620,<5000,66.9,>60,0.074,43.4
2014,Africa,Eastern Africa,Seychelles,25200,>= 20000 and <40000,73.6,>60,5.31,14.6
2014,Africa,Eastern Africa,Uganda,1670,<5000,60.8,>60,0.135,60.1
1973,Africa,Middle Africa,Sao Tome and Principe,2140,<5000,60.5,>60,0.186,86.1
1974,Africa,Middle Africa,Sao Tome and Principe,2220,<5000,61,>60,0.227,86.9
1975,Africa,Middle Africa,Sao Tome and Principe,2280,<5000,61.6,>60,0.222,87.4
1976,Africa,Middle Africa,Sao Tome and Principe,2260,<5000,62.1,>60,0.346,87.8
1977,Africa,Middle Africa,Sao Tome and Principe,2710,<5000,62.6,>60,0.336,88
1978,Africa,Middle Africa,Sao Tome and Principe,2700,<5000,62.9,>60,0.366,88.3
1979,Africa,Middle Africa,Sao Tome and Principe,3060,<5000,63.1,>60,0.356,88.7
1980,Africa,Middle Africa,Sao Tome and Principe,2950,<5000,63,>60,0.425,89.2
1981,Africa,Middle Africa,Sao Tome and Principe,2600,<5000,62.8,>60,0.454,90.3
1982,Africa,Middle Africa,Sao Tome and Principe,2630,<5000,62.6,>60,0.483,91.7
1983,Africa,Middle Africa,Sao Tome and Principe,2490,<5000,62.3,>60,0.548,93.5
1984,Africa,Middle Africa,Sao Tome and Principe,2300,<5000,62.1,>60,0.504,95.4
1985,Africa,Middle Africa,Sao Tome and Principe,2470,<5000,62.4,>60,0.531,97.4
1986,Africa,Middle Africa,Sao Tome and Principe,2280,<5000,62.8,>60,0.487,99.3
1987,Africa,Middle Africa,Gabon,16500,>= 5000 and <20000,60.2,>60,4.59,96.1
1987,Africa,Middle Africa,Sao Tome and Principe,2170,<5000,63.1,>60,0.478,101
1988,Africa,Middle Africa,Sao Tome and Principe,2160,<5000,63.2,>60,0.435,103
1989,Africa,Middle Africa,Sao Tome and Principe,2180,<5000,62.3,>60,0.427,104
1990,Africa,Middle Africa,Sao Tome and Principe,2090,<5000,63.3,>60,0.419,105
1991,Africa,Middle Africa,Sao Tome and Principe,2070,<5000,63.4,>60,0.41,105
1992,Africa,Middle Africa,Gabon,19000,>= 5000 and <20000,60.1,>60,4.91,90.8
1992,Africa,Middle Africa,Sao Tome and Principe,2050,<5000,63.5,>60,0.401,105
1993,Africa,Middle Africa,Sao Tome and Principe,2030,<5000,63.5,>60,0.393,105
1994,Africa,Middle Africa,Sao Tome and Principe,2030,<5000,63.7,>60,0.385,104
1995,Africa,Middle Africa,Sao Tome and Principe,2040,<5000,63.8,>60,0.377,102
1996,Africa,Middle Africa,Sao Tome and Principe,2030,<5000,63.6,>60,0.37,98.7
1997,Africa,Middle Africa,Sao Tome and Principe,2010,<5000,63.7,>60,0.364,95.5
1998,Africa,Middle Africa,Sao Tome and Principe,2010,<5000,63.8,>60,0.357,91.7
1999,Africa,Middle Africa,Sao Tome and Principe,2030,<5000,64.2,>60,0.351,87.5
2000,Africa,Middle Africa,Sao Tome and Principe,2000,<5000,64.6,>60,0.344,83.2
2001,Africa,Middle Africa,Sao Tome and Principe,2020,<5000,65,>60,0.362,78.7
2002,Africa,Middle Africa,Sao Tome and Principe,2020,<5000,65.3,>60,0.405,74.2
2003,Africa,Middle Africa,Sao Tome and Principe,2100,<5000,65.8,>60,0.445,69.7
2004,Africa,Middle Africa,Sao Tome and Principe,2130,<5000,66,>60,0.483,65.5
2005,Africa,Middle Africa,Sao Tome and Principe,2230,<5000,66.1,>60,0.495,61.5
2006,Africa,Middle Africa,Gabon,15900,>= 5000 and <20000,60.5,>60,2.89,74.1
2006,Africa,Middle Africa,Sao Tome and Principe,2370,<5000,66.8,>60,0.529,57.8
2007,Africa,Middle Africa,Gabon,16300,>= 5000 and <20000,61.2,>60,2.77,71.6
2007,Africa,Middle Africa,Sao Tome and Principe,2400,<5000,67.3,>60,0.517,54.3
2008,Africa,Middle Africa,Gabon,15300,>= 5000 and <20000,61.5,>60,2.72,68.9
2008,Africa,Middle Africa,Sao Tome and Principe,2530,<5000,67.7,>60,0.505,51.2
2009,Africa,Middle Africa,Equatorial Guinea,38700,>= 20000 and <40000,60.3,>60,5.08,114
2009,Africa,Middle Africa,Gabon,14800,>= 5000 and <20000,62,>60,2.68,66.3
2009,Africa,Middle Africa,Sao Tome and Principe,2530,<5000,68.4,>60,0.537,48.2
2010,Africa,Middle Africa,Angola,5900,>= 5000 and <20000,60.1,>60,1.24,119
2010,Africa,Middle Africa,Equatorial Guinea,33700,>= 20000 and <40000,60.9,>60,4.92,111
2010,Africa,Middle Africa,Gabon,15400,>= 5000 and <20000,62.9,>60,2.93,63.7
2010,Africa,Middle Africa,Sao Tome and Principe,2640,<5000,68.9,>60,0.566,45.4
2011,Africa,Middle Africa,Angola,5910,>= 5000 and <20000,60.9,>60,1.25,111
2011,Africa,Middle Africa,Equatorial Guinea,34400,>= 20000 and <40000,61.4,>60,6.16,107
2011,Africa,Middle Africa,Gabon,15900,>= 5000 and <20000,63.3,>60,2.93,61
2011,Africa,Middle Africa,Sao Tome and Principe,2700,<5000,69.3,>60,0.574,42.9
2012,Africa,Middle Africa,Angola,6000,>= 5000 and <20000,61.7,>60,1.33,104
2012,Africa,Middle Africa,Equatorial Guinea,35600,>= 20000 and <40000,62.3,>60,4.93,104
2012,Africa,Middle Africa,Gabon,16200,>= 5000 and <20000,63.9,>60,2.91,58.2
2012,Africa,Middle Africa,Sao Tome and Principe,2720,<5000,69.3,>60,0.622,40.6
2013,Africa,Middle Africa,Angola,6190,>= 5000 and <20000,62.5,>60,1.25,96.8
2013,Africa,Middle Africa,Equatorial Guinea,32700,>= 20000 and <40000,63.7,>60,4.76,100
2013,Africa,Middle Africa,Gabon,16500,>= 5000 and <20000,64.6,>60,2.91,55.3
2013,Africa,Middle Africa,Sao Tome and Principe,2790,<5000,69.7,>60,0.608,38.6
2014,Africa,Middle Africa,Angola,6260,>= 5000 and <20000,63.3,>60,1.29,91.2
2014,Africa,Middle Africa,Equatorial Guinea,31200,>= 20000 and <40000,64.7,>60,4.73,97.1
2014,Africa,Middle Africa,Gabon,16700,>= 5000 and <20000,65.3,>60,2.77,53
2014,Africa,Middle Africa,Sao Tome and Principe,2890,<5000,70,>60,0.594,36.8
1966,Africa,Northern Africa,Libya,42500,>= 40000 and < 60000,60.5,>60,1.46,185
1967,Africa,Northern Africa,Libya,46000,>= 40000 and < 60000,62,>60,9.85,171
1968,Africa,Northern Africa,Libya,59500,>= 40000 and < 60000,63.4,>60,15.4,159
1969,Africa,Northern Africa,Libya,64700,>= 60000 and <= 100000,64.8,>60,17.4,148
1970,Africa,Northern Africa,Libya,65800,>= 60000 and <= 100000,66.1,>60,15.2,137
1971,Africa,Northern Africa,Libya,60200,>= 60000 and <= 100000,66.9,>60,9.71,127
1972,Africa,Northern Africa,Libya,51400,>= 40000 and < 60000,67.5,>60,6.54,118
1973,Africa,Northern Africa,Libya,49500,>= 40000 and < 60000,68.1,>60,6,109
1973,Africa,Northern Africa,Tunisia,3700,<5000,60.3,>60,0.893,153
1974,Africa,Northern Africa,Libya,40300,>= 40000 and < 60000,68.5,>60,3.68,102
1974,Africa,Northern Africa,Tunisia,3900,<5000,61.3,>60,0.977,144
1975,Africa,Northern Africa,Libya,41700,>= 40000 and < 60000,69.1,>60,4.38,95
1975,Africa,Northern Africa,Tunisia,4080,<5000,62.1,>60,0.982,135
1976,Africa,Northern Africa,Libya,50000,>= 40000 and < 60000,69.7,>60,6.5,89.1
1976,Africa,Northern Africa,Tunisia,4290,<5000,63,>60,1.01,126
1977,Africa,Northern Africa,Algeria,8980,>= 5000 and <20000,60.6,>60,2.37,184
1977,Africa,Northern Africa,Libya,53600,>= 40000 and < 60000,69.7,>60,7.02,83.8
1977,Africa,Northern Africa,Tunisia,4330,<5000,63.6,>60,1.14,118
1978,Africa,Northern Africa,Algeria,9830,>= 5000 and <20000,61.2,>60,3.43,173
1978,Africa,Northern Africa,Libya,54400,>= 40000 and < 60000,70.6,>60,7.13,79
1978,Africa,Northern Africa,Tunisia,4510,<5000,64.2,>60,1.24,110
1979,Africa,Northern Africa,Algeria,10400,>= 5000 and <20000,61.9,>60,2.43,161
1979,Africa,Northern Africa,Libya,59400,>= 40000 and < 60000,71,>60,8.41,74.8
1979,Africa,Northern Africa,Morocco,3180,<5000,60.3,>60,0.817,139
1979,Africa,Northern Africa,Tunisia,4700,<5000,65,>60,1.41,102
1980,Africa,Northern Africa,Algeria,10300,>= 5000 and <20000,62.1,>60,3.44,148
1980,Africa,Northern Africa,Libya,57700,>= 40000 and < 60000,71.5,>60,8.36,70.9
1980,Africa,Northern Africa,Morocco,3410,<5000,61,>60,0.796,133
1980,Africa,Northern Africa,Tunisia,4920,<5000,65.6,>60,1.49,95.9
1981,Africa,Northern Africa,Algeria,10300,>= 5000 and <20000,63.4,>60,2.33,133
1981,Africa,Northern Africa,Libya,44100,>= 40000 and < 60000,71.7,>60,8.61,67.3
1981,Africa,Northern Africa,Morocco,3260,<5000,61.7,>60,0.773,126
1981,Africa,Northern Africa,Tunisia,5070,>= 5000 and <20000,66.8,>60,1.5,90.1
1982,Africa,Northern Africa,Algeria,10600,>= 5000 and <20000,64.4,>60,1.91,117
1982,Africa,Northern Africa,Libya,42700,>= 40000 and < 60000,72,>60,8.84,64
1982,Africa,Northern Africa,Morocco,3510,<5000,62.7,>60,0.812,120
1982,Africa,Northern Africa,Tunisia,4950,<5000,67.7,>60,1.41,84.8
1983,Africa,Northern Africa,Algeria,10800,>= 5000 and <20000,65.7,>60,2.48,101
1983,Africa,Northern Africa,Egypt,4960,<5000,60.4,>60,1.2,138
1983,Africa,Northern Africa,Libya,39000,>= 20000 and <40000,72.2,>60,8.41,60.8
1983,Africa,Northern Africa,Morocco,3400,<5000,63.3,>60,0.827,114
1983,Africa,Northern Africa,Tunisia,5090,>= 5000 and <20000,68.6,>60,1.63,80.1
1984,Africa,Northern Africa,Algeria,11100,>= 5000 and <20000,66.9,>60,3.25,86.2
1984,Africa,Northern Africa,Egypt,5210,>= 5000 and <20000,61.2,>60,1.31,128
1984,Africa,Northern Africa,Libya,34300,>= 20000 and <40000,72.3,>60,7.64,57.7
1984,Africa,Northern Africa,Morocco,3450,<5000,64,>60,0.808,108
1984,Africa,Northern Africa,Tunisia,5140,>= 5000 and <20000,69.3,>60,1.62,75.8
1985,Africa,Northern Africa,Algeria,11200,>= 5000 and <20000,68,>60,3.23,73.7
1985,Africa,Northern Africa,Egypt,5440,>= 5000 and <20000,61.1,>60,1.27,119
1985,Africa,Northern Africa,Libya,34700,>= 20000 and <40000,72.6,>60,8.11,54.8
1985,Africa,Northern Africa,Morocco,3580,<5000,64.6,>60,0.793,102
1985,Africa,Northern Africa,Tunisia,5300,>= 5000 and <20000,69.8,>60,1.63,71.7
1986,Africa,Northern Africa,Algeria,10800,>= 5000 and <20000,68.7,>60,3.28,64.4
1986,Africa,Northern Africa,Egypt,5560,>= 5000 and <20000,61.9,>60,1.44,110
1986,Africa,Northern Africa,Libya,29600,>= 20000 and <40000,72.7,>60,8.53,52
1986,Africa,Northern Africa,Morocco,3760,<5000,65.2,>60,0.82,96.8
1986,Africa,Northern Africa,Tunisia,5100,>= 5000 and <20000,70.2,>60,1.61,67.9
1987,Africa,Northern Africa,Algeria,10500,>= 5000 and <20000,69.4,>60,3.52,57.9
1987,Africa,Northern Africa,Egypt,5670,>= 5000 and <20000,62.3,>60,1.41,102
1987,Africa,Northern Africa,Libya,24200,>= 20000 and <40000,69.9,>60,7.92,49.3
1987,Africa,Northern Africa,Morocco,3590,<5000,65.7,>60,0.856,92
1987,Africa,Northern Africa,Tunisia,5320,>= 5000 and <20000,70.6,>60,1.53,64.7
1988,Africa,Northern Africa,Algeria,10000,>= 5000 and <20000,70,>60,3.41,53.5
1988,Africa,Northern Africa,Egypt,5780,>= 5000 and <20000,64,>60,1.37,95.8
1988,Africa,Northern Africa,Libya,23100,>= 20000 and <40000,72.9,>60,8.62,46.7
1988,Africa,Northern Africa,Morocco,3860,<5000,66.1,>60,0.884,87.5
1988,Africa,Northern Africa,Tunisia,5210,>= 5000 and <20000,71,>60,1.58,61.8
1989,Africa,Northern Africa,Algeria,10200,>= 5000 and <20000,70.5,>60,3.17,50.8
1989,Africa,Northern Africa,Egypt,5830,>= 5000 and <20000,64.7,>60,1.29,90.5
1989,Africa,Northern Africa,Libya,23600,>= 20000 and <40000,72.9,>60,8.62,44.3
1989,Africa,Northern Africa,Morocco,3860,<5000,66.6,>60,0.938,83.4
1989,Africa,Northern Africa,Tunisia,5300,>= 5000 and <20000,71.4,>60,1.64,59.2
1990,Africa,Northern Africa,Algeria,10200,>= 5000 and <20000,71,>60,2.97,49
1990,Africa,Northern Africa,Egypt,5910,>= 5000 and <20000,65.3,>60,1.32,85.9
1990,Africa,Northern Africa,Libya,26000,>= 20000 and <40000,73.1,>60,8.29,42
1990,Africa,Northern Africa,Morocco,3910,<5000,67.2,>60,0.946,79.6
1990,Africa,Northern Africa,Tunisia,5620,>= 5000 and <20000,71.7,>60,1.61,56.8
1991,Africa,Northern Africa,Algeria,9870,>= 5000 and <20000,71.4,>60,2.98,47.6
1991,Africa,Northern Africa,Egypt,5840,>= 5000 and <20000,65.5,>60,1.34,81.7
1991,Africa,Northern Africa,Libya,29400,>= 20000 and <40000,73.4,>60,9.43,39.9
1991,Africa,Northern Africa,Morocco,4120,<5000,67.6,>60,0.986,75.9
1991,Africa,Northern Africa,Tunisia,5710,>= 5000 and <20000,72.1,>60,1.84,54.6
1992,Africa,Northern Africa,Algeria,9820,>= 5000 and <20000,71.7,>60,2.95,46.5
1992,Africa,Northern Africa,Egypt,5970,>= 5000 and <20000,66.2,>60,1.35,77.6
1992,Africa,Northern Africa,Libya,27900,>= 20000 and <40000,73.5,>60,8.01,38
1992,Africa,Northern Africa,Morocco,3960,<5000,67.9,>60,1.01,72.5
1992,Africa,Northern Africa,Tunisia,6020,>= 5000 and <20000,72.2,>60,1.75,52.3
1993,Africa,Northern Africa,Algeria,9400,>= 5000 and <20000,72,>60,2.96,45.5
1993,Africa,Northern Africa,Egypt,6010,>= 5000 and <20000,66.7,>60,1.52,73.4
1993,Africa,Northern Africa,Libya,26300,>= 20000 and <40000,73.8,>60,8.19,36.3
1993,Africa,Northern Africa,Morocco,3860,<5000,68.2,>60,1.08,69.2
1993,Africa,Northern Africa,Tunisia,6020,>= 5000 and <20000,72.3,>60,1.88,49.9
1994,Africa,Northern Africa,Algeria,9130,>= 5000 and <20000,72.1,>60,3.05,44.4
1994,Africa,Northern Africa,Egypt,6130,>= 5000 and <20000,67,>60,1.37,69.1
1994,Africa,Northern Africa,Libya,26300,>= 20000 and <40000,74,>60,9.09,34.7
1994,Africa,Northern Africa,Morocco,4200,<5000,68.7,>60,1.11,66
1994,Africa,Northern Africa,Sudan,1900,<5000,60.1,>60,0.178,122
1994,Africa,Northern Africa,Tunisia,6100,>= 5000 and <20000,72.6,>60,1.78,47.3
1995,Africa,Northern Africa,Algeria,9300,>= 5000 and <20000,72.3,>60,3.3,43.3
1995,Africa,Northern Africa,Egypt,6290,>= 5000 and <20000,67.7,>60,1.5,64.9
1995,Africa,Northern Africa,Libya,22600,>= 20000 and <40000,74.1,>60,9.3,33.3
1995,Africa,Northern Africa,Morocco,3920,<5000,69,>60,1.12,62.9
1995,Africa,Northern Africa,Sudan,1960,<5000,60.4,>60,0.178,120
1995,Africa,Northern Africa,Tunisia,6130,>= 5000 and <20000,73,>60,1.73,44.7
1996,Africa,Northern Africa,Algeria,9510,>= 5000 and <20000,72.8,>60,3.3,42.3
1996,Africa,Northern Africa,Egypt,6480,>= 5000 and <20000,68.1,>60,1.57,60.7
1996,Africa,Northern Africa,Libya,22700,>= 20000 and <40000,74.1,>60,8.77,32.1
1996,Africa,Northern Africa,Morocco,4340,<5000,69.5,>60,1.14,59.9
1996,Africa,Northern Africa,Sudan,2020,<5000,60.7,>60,0.179,117
1996,Africa,Northern Africa,Tunisia,6470,>= 5000 and <20000,73.5,>60,1.81,42
1997,Africa,Northern Africa,Algeria,9460,>= 5000 and <20000,73,>60,2.92,41.5
1997,Africa,Northern Africa,Egypt,6710,>= 5000 and <20000,68.4,>60,1.64,56.8
1997,Africa,Northern Africa,Libya,22200,>= 20000 and <40000,74.4,>60,8.79,31
1997,Africa,Northern Africa,Morocco,4210,<5000,69.8,>60,1.15,57.2
1997,Africa,Northern Africa,Sudan,2170,<5000,61.1,>60,0.213,114
1997,Africa,Northern Africa,Tunisia,6730,>= 5000 and <20000,74,>60,1.81,39.2
1998,Africa,Northern Africa,Algeria,9800,>= 5000 and <20000,73.1,>60,3.53,40.8
1998,Africa,Northern Africa,Egypt,6860,>= 5000 and <20000,69,>60,1.81,53.2
1998,Africa,Northern Africa,Libya,21700,>= 20000 and <40000,74.4,>60,8.75,30
1998,Africa,Northern Africa,Morocco,4460,<5000,70.2,>60,1.14,54.5
1998,Africa,Northern Africa,Sudan,2210,<5000,61.5,>60,0.181,111
1998,Africa,Northern Africa,Tunisia,6960,>= 5000 and <20000,74.4,>60,1.89,36.5
1999,Africa,Northern Africa,Algeria,9970,>= 5000 and <20000,73.5,>60,2.99,40.3
1999,Africa,Northern Africa,Egypt,7140,>= 5000 and <20000,69.4,>60,1.83,49.9
1999,Africa,Northern Africa,Libya,21500,>= 20000 and <40000,74.5,>60,8.46,29.1
1999,Africa,Northern Africa,Morocco,4450,<5000,70.5,>60,1.16,52.1
1999,Africa,Northern Africa,Sudan,2210,<5000,61.9,>60,0.191,108
1999,Africa,Northern Africa,Tunisia,7310,>= 5000 and <20000,74.7,>60,1.91,34
2000,Africa,Northern Africa,Algeria,10200,>= 5000 and <20000,73.9,>60,2.82,39.7
2000,Africa,Northern Africa,Egypt,7390,>= 5000 and <20000,69.9,>60,2.02,46.9
2000,Africa,Northern Africa,Libya,21900,>= 20000 and <40000,74.4,>60,8.8,28.2
2000,Africa,Northern Africa,Morocco,4480,<5000,70.9,>60,1.18,49.8
2000,Africa,Northern Africa,Sudan,2290,<5000,62.6,>60,0.203,105
2000,Africa,Northern Africa,Tunisia,7570,>= 5000 and <20000,75,>60,2.05,31.7
2001,Africa,Northern Africa,Algeria,10400,>= 5000 and <20000,74.1,>60,2.67,38.9
