Name,Platform,Release Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Sonic Riders,PS2,2006,Racing,Sega,0.42,0.02,0,0.07,0.51
Wrecking Crew,NES,1985,Platform,Nintendo,0,0,0.51,0,0.51
Final Fantasy,WS,2000,Role-Playing,Other,0,0,0.51,0,0.51
Jikkyou Powerful Pro Yakyuu 10,PS2,2003,Sports,Other,0,0,0.51,0,0.51
Jam With the Band,DS,2008,Misc,Nintendo,0,0,0.51,0,0.51
River Raid II,2600,1988,Shooter,Activision,0.47,0.03,0,0.01,0.51
Rugrats: Scavenger Hunt,N64,1999,Misc,THQ,0.41,0.09,0,0.01,0.51
Madden NFL 2004,GC,2003,Sports,Electronic Arts,0.4,0.1,0,0.01,0.51
International Superstar Soccer 2000 (All region sales),N64,1999,Sports,Other,0.01,0.26,0.22,0.02,0.51
Dynasty Warriors,PSP,2004,Action,Other,0.18,0.01,0.3,0.02,0.51
Picross DS,DS,2007,Puzzle,Nintendo,0.17,0.02,0.3,0.02,0.51
International Track & Field,PS,1996,Sports,Other,0.08,0.05,0.35,0.03,0.51
Dai-4-Ji Super Robot Taisen S,PS,1996,Strategy,Other,0,0,0.48,0.03,0.51
Way of the Samurai,PS2,2002,Action,Other,0.13,0.1,0.25,0.03,0.51
NBA 2K11,Wii,2010,Action,Take-Two Interactive,0.47,0.01,0,0.03,0.51
NBA Live 07,PSP,2006,Sports,Electronic Arts,0.47,0,0,0.04,0.51
SpongeBob SquarePants: Creature from the Krusty Krab,Wii,2006,Platform,THQ,0.45,0.02,0,0.04,0.51
WWE SmackDown vs. RAW 2007,X360,2006,Fighting,THQ,0.44,0.03,0,0.04,0.51
Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai,0.15,0.12,0.2,0.04,0.51
Burnout Revenge,X360,2006,Racing,Electronic Arts,0.42,0.05,0,0.04,0.51
Paws & Claws: Dogs & Cats Best Friends,DS,2007,Simulation,THQ,0.46,0.01,0,0.04,0.51
Sega Bass Fishing,Wii,2008,Sports,Sega,0.46,0.01,0,0.04,0.51
Disgaea 3: Absence of Justice,PS3,2008,Role-Playing,Other,0.32,0.04,0.11,0.04,0.51
100 All-Time Favorites,DS,2009,Puzzle,Ubisoft,0.35,0.12,0,0.04,0.51
Dragon Ball: Raging Blast,X360,2009,Fighting,Namco Bandai,0.36,0.09,0.02,0.04,0.51
Major League Baseball 2K10,X360,2010,Sports,Take-Two Interactive,0.47,0,0,0.04,0.51
Monsters vs. Aliens,DS,2009,Action,Activision,0.33,0.13,0,0.05,0.51
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,DS,2009,Adventure,Other,0.12,0.33,0,0.06,0.51
NHL 07,PS2,2006,Sports,Electronic Arts,0.42,0.02,0,0.07,0.51
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PS3,2010,Shooter,Activision,0.24,0.19,0,0.08,0.51
Lost: Via Domus,PS3,2008,Action,Ubisoft,0.19,0.23,0,0.09,0.51
Euro Truck Simulator,PC,2008,Simulation,Other,0,0.42,0,0.09,0.51
Prince of Persia Trilogy,PS3,2010,Action,Ubisoft,0.17,0.25,0,0.09,0.51
R.U.S.E.,PS3,2010,Strategy,Ubisoft,0.18,0.22,0.02,0.09,0.51
SoulCalibur: Broken Destiny,PSP,2009,Fighting,Namco Bandai,0.12,0.2,0.07,0.12,0.51
Harry Potter and the Half-Blood Prince,PSP,2009,Action,Electronic Arts,0.18,0.21,0,0.12,0.51
Test Drive Unlimited,PSP,2007,Racing,Atari,0.08,0.28,0,0.15,0.51
The Sims 2: Open for Business,PC,2006,Simulation,Electronic Arts,0.46,0.05,0,0,0.51
NFL 2K3,XB,2002,Sports,Sega,0.38,0.11,0,0.02,0.51
Rival Schools: United By Fate,PS,1998,Fighting,Capcom,0.12,0.08,0.28,0.03,0.51
Front Mission 3,PS,1999,Strategy,Other,0.1,0.07,0.31,0.03,0.51
Omega Boost,PS,1999,Shooter,Sony Computer Entertainment,0.17,0.11,0.2,0.03,0.51
NBA Live 2002,PS,2001,Sports,Electronic Arts,0.29,0.19,0,0.03,0.51
Cars Toon: Mater's Tall Tales,Wii,2010,Misc,Other,0.46,0.02,0,0.03,0.51
NBA Live 08,X360,2007,Sports,Electronic Arts,0.47,0,0,0.04,0.51
Kung Fu Panda,PS3,2008,Action,Activision,0.21,0.21,0,0.09,0.51
Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0,0.01,0.5
Scarface: The World is Yours,XB,2006,Action,Other,0.37,0.11,0,0.02,0.5
Tony Hawk's Project 8,X360,2006,Sports,Activision,0.44,0.02,0,0.04,0.5
Cars Mater-National Championship,Wii,2007,Racing,THQ,0.46,0,0,0.04,0.5
Medal of Honor,PC,2010,Shooter,Electronic Arts,0.2,0.23,0,0.07,0.5
Super Famista 5,SNES,1996,Sports,Namco Bandai,0,0,0.5,0,0.5
Super Robot Taisen MX,PS2,2004,Strategy,Other,0,0,0.5,0,0.5
Super Robot Taisen Z,PS2,2008,Strategy,Namco Bandai,0,0,0.5,0,0.5
Raiders of the Lost Ark,2600,1981,Action,Atari,0.46,0.03,0,0.01,0.5
RealSports Tennis,2600,1982,Sports,Atari,0.46,0.03,0,0.01,0.5
Gauntlet,2600,1982,Action,Other,0.46,0.03,0,0.01,0.5
Rugrats in Paris: The Movie,N64,2000,Action,THQ,0.4,0.09,0,0.01,0.5
Tactics Ogre: The Knight of Lodis,GBA,2001,Role-Playing,Nintendo,0.13,0.05,0.31,0.01,0.5
Rayman Advance,GBA,2001,Platform,Ubisoft,0.36,0.13,0,0.01,0.5
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,2004,Action,THQ,0.36,0.13,0,0.01,0.5
Avatar: The Last Airbender,GC,2006,Adventure,THQ,0.39,0.1,0,0.01,0.5
Midnight Club II,XB,2003,Racing,Take-Two Interactive,0.42,0.06,0,0.02,0.5
Dead or Alive Ultimate,XB,2004,Fighting,Other,0.3,0.1,0.08,0.02,0.5
Dragon Ball Z: Supersonic Warriors 2,DS,2005,Fighting,Atari,0.14,0.02,0.32,0.02,0.5
Bases Loaded '96: Double Header,PS,1995,Sports,Other,0.28,0.19,0,0.03,0.5
RPG Maker,PS,1997,Role-Playing,Other,0.11,0.07,0.29,0.03,0.5
Blue's Clues: Blue's Big Musical,PS,2001,Misc,THQ,0.28,0.19,0,0.03,0.5
Monster Hunter,PS2,2004,Role-Playing,Capcom,0.11,0.08,0.28,0.03,0.5
Madden NFL 07,Wii,2006,Sports,Electronic Arts,0.46,0,0,0.04,0.5
NBA Street Homecourt,X360,2007,Sports,Electronic Arts,0.45,0.01,0,0.04,0.5
NHL 09,X360,2008,Sports,Electronic Arts,0.45,0.01,0,0.04,0.5
The Price is Right,DS,2008,Misc,Ubisoft,0.46,0,0,0.04,0.5
Babysitting Mama,Wii,2010,Simulation,Other,0.34,0.12,0,0.04,0.5
Alice in Wonderland,DS,2010,Adventure,Other,0.27,0.18,0,0.05,0.5
The Mummy Returns,PS2,2001,Action,Other,0.25,0.19,0,0.06,0.5
Activision Anthology,PS2,2002,Misc,Activision,0.25,0.19,0,0.06,0.5
Looney Tunes: Back in Action,PS2,2003,Platform,Other,0.25,0.19,0,0.06,0.5
Hitman: Blood Money,PS2,2006,Action,Other,0.25,0.19,0,0.06,0.5
Disney Sing It,PS2,2008,Misc,Other,0.25,0.19,0,0.06,0.5
Crash: Mind Over Mutant,PS2,2008,Platform,Other,0.25,0.19,0,0.06,0.5
Tiger Woods PGA Tour 07,PS3,2006,Sports,Electronic Arts,0.31,0.12,0,0.07,0.5
Tomb Raider: Anniversary,PS2,2007,Action,Other,0.41,0.02,0,0.07,0.5
Madden NFL 11,PS2,2010,Sports,Electronic Arts,0.41,0.02,0,0.07,0.5
The Saboteur,PS3,2009,Action,Electronic Arts,0.2,0.22,0,0.08,0.5
Dragon Ball Z: Supersonic Warriors,GBA,2004,Fighting,Atari,0.36,0.13,0,0.01,0.5
NBA Live 2004,XB,2003,Sports,Electronic Arts,0.44,0.04,0,0.02,0.5
World Championship Poker,XB,2004,Misc,Other,0.37,0.11,0,0.02,0.5
NBA Ballers,XB,2004,Sports,Other,0.37,0.11,0,0.02,0.5
Virtual Pool,PS,1997,Sports,Other,0.28,0.19,0,0.03,0.5
NHL FaceOff 98,PS,1997,Sports,Sony Computer Entertainment,0.28,0.19,0,0.03,0.5
Final Fantasy II Anniversary Edition,PSP,2007,Role-Playing,Other,0.36,0.03,0.07,0.04,0.5
Pro Evolution Soccer 2010,Wii,2009,Sports,Other,0.12,0.27,0.06,0.05,0.5
Monopoly Party,PS2,2002,Misc,Other,0.25,0.19,0,0.06,0.5
Silent Hill 4: The Room,PS2,2004,Action,Other,0.25,0.19,0,0.06,0.5
Capcom Classics Collection,PS2,2005,Misc,Capcom,0.22,0.17,0.05,0.06,0.5
The BIGS,PS2,2007,Sports,Take-Two Interactive,0.25,0.19,0,0.06,0.5
Dragon Ball Z: Burst Limit,X360,2008,Fighting,Atari,0.24,0.18,0.03,0.05,0.5
Spider-Man 2,DS,2004,Action,Activision,0.41,0.02,0.03,0.04,0.5
Boogie,Wii,2007,Misc,Electronic Arts,0.43,0.03,0,0.04,0.5
Atelier Rorona: Alchemist of Arland,PS3,2009,Role-Playing,Other,0.22,0.12,0.11,0.05,0.5
Dreamworks Madagascar Kartz,Wii,2009,Racing,Activision,0.29,0.16,0,0.05,0.5
You're in the Movies,X360,2008,Misc,Microsoft Game Studios,0.27,0.17,0,0.05,0.49
Destroy All Humans! 2,PS2,2006,Action,THQ,0.4,0.02,0,0.07,0.49
Shrek the Third,PS2,2007,Action,Activision,0.4,0.02,0,0.07,0.49
NCAA Football 09,PS2,2008,Sports,Electronic Arts,0.4,0.02,0,0.07,0.49
GoldenEye: Rogue Agent,XB,2004,Shooter,Electronic Arts,0.34,0.13,0,0.02,0.49
Kane & Lynch 2: Dog Days,X360,2010,Shooter,Other,0.2,0.23,0.01,0.05,0.49
F.E.A.R. 2: Project Origin,PS3,2009,Shooter,Other,0.19,0.21,0.01,0.08,0.49
Millipede,2600,1983,Shooter,Atari,0.45,0.03,0,0.01,0.49
Need for Speed: Porsche Unleashed,GBA,2004,Racing,Other,0.35,0.13,0,0.01,0.49
Madagascar: Operation Penguin,GBA,2005,Action,Activision,0.35,0.13,0,0.01,0.49
NFL Street 2,XB,2004,Sports,Electronic Arts,0.36,0.11,0,0.02,0.49
Scene It? Lights Camera Action,X360,2007,Misc,Microsoft Game Studios,0.43,0.02,0,0.04,0.49
Dead Space Extraction,Wii,2009,Shooter,Electronic Arts,0.33,0.11,0.01,0.04,0.49
James Bond 007: Blood Stone,X360,2010,Shooter,Activision,0.2,0.24,0,0.05,0.49
Rock Band Unplugged,PSP,2009,Misc,Other,0.24,0.15,0,0.1,0.49
Mario & Wario,SNES,1993,Puzzle,Nintendo,0,0,0.49,0,0.49
SimCity 2000,SNES,1995,Simulation,THQ,0,0,0.49,0,0.49
J-League Pro Soccer Club wo Tsukurou! 2,SAT,1997,Sports,Sega,0,0,0.49,0,0.49
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,2001,Misc,Other,0,0,0.49,0,0.49
Taiko no Tatsujin: Appare Sandaime,PS2,2003,Misc,Namco Bandai,0,0,0.49,0,0.49
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,2006,Shooter,Namco Bandai,0,0,0.49,0,0.49
WWE Wrestlemania X8,GC,2002,Fighting,THQ,0.38,0.1,0,0.01,0.49
Power Rangers: Dino Thunder,GBA,2003,Action,THQ,0.35,0.13,0,0.01,0.49
The Sims,GC,2003,Simulation,Electronic Arts,0.35,0.13,0,0.01,0.49
Tony Hawk's Underground 2,GBA,2004,Sports,Activision,0.35,0.13,0,0.01,0.49
Pac-Man World 2,XB,2002,Action,Namco Bandai,0.36,0.11,0,0.02,0.49
Tales of Legendia,PS2,2005,Role-Playing,Namco Bandai,0.07,0.05,0.35,0.02,0.49
Football Manager Handheld 2009,PSP,2008,Sports,Sega,0,0.47,0,0.02,0.49
FIFA Soccer 64,N64,1997,Sports,Electronic Arts,0.16,0.3,0,0.03,0.49
One Piece: Grand Battle!,PS,2001,Fighting,Atari,0,0,0.46,0.03,0.49
Grandia III,PS2,2005,Role-Playing,Other,0.12,0.1,0.24,0.03,0.49
Far Cry 2,PC,2008,Action,Ubisoft,0.01,0.45,0,0.03,0.49
Bakugan Battle Brawlers: Defenders of the Core,DS,2010,Action,Activision,0.42,0.02,0.02,0.03,0.49
SpongeBob SquarePants: Creature from the Krusty Krab,DS,2006,Platform,THQ,0.45,0,0,0.04,0.49
Rayman Raving Rabbids: TV Party,DS,2008,Misc,Ubisoft,0.44,0.01,0,0.04,0.49
Alone in the Dark,X360,2008,Adventure,Atari,0.14,0.3,0,0.05,0.49
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Wii,2009,Shooter,Activision,0.24,0.2,0,0.05,0.49
Barbie Horse Adventures: Wild Horse Rescue,PS2,2003,Sports,Other,0.24,0.19,0,0.06,0.49
Spy Hunter 2,PS2,2003,Racing,Other,0.24,0.19,0,0.06,0.49
Backyard Baseball,PS2,2004,Sports,Atari,0.24,0.19,0,0.06,0.49
FIFA Soccer 09,DS,2008,Sports,Electronic Arts,0.12,0.31,0,0.06,0.49
Jake Power: Fireman,DS,2008,Adventure,Ubisoft,0.08,0.35,0,0.06,0.49
The Matrix: Path of Neo,PS2,2005,Action,Atari,0.41,0.01,0,0.07,0.49
Tony Hawk's Underground 2,GC,2004,Sports,Activision,0.38,0.1,0,0.01,0.49
PoPoLoCrois Monogatari,PS,1996,Role-Playing,Sony Computer Entertainment,0,0,0.46,0.03,0.49
Star Wars: Jedi Starfighter,PS2,2002,Simulation,Activision,0.24,0.19,0,0.06,0.49
Star Wars: Clone Wars,PS2,2002,Shooter,Other,0.24,0.19,0,0.06,0.49
Men in Black II: Alien Escape,PS2,2002,Shooter,Other,0.24,0.19,0,0.06,0.49
SplashDown: Rides Gone Wild,PS2,2003,Racing,THQ,0.24,0.19,0,0.06,0.49
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,2004,Action,THQ,0.24,0.19,0,0.06,0.49
Shrek SuperSlam,PS2,2005,Action,Activision,0.24,0.19,0,0.06,0.49
Nicktoons: Attack of the Toybots,PS2,2007,Platform,THQ,0.24,0.19,0,0.06,0.49
Fantastic 4,PS2,2005,Action,Activision,0.41,0.01,0,0.07,0.49
The Sims 2: Pets,Wii,2007,Simulation,Electronic Arts,0.42,0.03,0,0.04,0.49
Pinball Hall of Fame: The Williams Collection,Wii,2008,Misc,Other,0.42,0.03,0,0.04,0.49
Double Dragon,2600,1989,Action,Activision,0.45,0.02,0,0.01,0.48
Unreal Tournament III,X360,2008,Shooter,Other,0.25,0.17,0.01,0.05,0.48
Midnight Club: Street Racing,GBA,2001,Racing,Other,0.34,0.13,0,0.01,0.48
Dynasty Warriors Gundam,PS3,2007,Action,Other,0.14,0.01,0.31,0.02,0.48
FlingSmash,Wii,2010,Action,Nintendo,0.38,0.01,0.07,0.02,0.48
Dark Sector,X360,2008,Shooter,Other,0.22,0.2,0.01,0.05,0.48
Silent Hill: Shattered Memories,Wii,2009,Action,Other,0.23,0.19,0.01,0.05,0.48
Tomb Raider: Underworld,Wii,2008,Action,Other,0.14,0.28,0,0.06,0.48
Emergency Heroes,Wii,2008,Racing,Ubisoft,0.15,0.27,0,0.06,0.48
Active Life: Extreme Challenge,Wii,2009,Sports,Namco Bandai,0.15,0.27,0,0.06,0.48
Victorious Boxers: Ippo's Road to Glory,PS2,2000,Fighting,Other,0.05,0.04,0.38,0.01,0.48
Fantavision,PS2,2000,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.48
Hamsterz Life,DS,2006,Action,Ubisoft,0.43,0.01,0,0.04,0.48
Grand Prix,2600,1981,Racing,Activision,0.45,0.03,0,0,0.48
The Legend of the Mystical Ninja,SNES,1991,Adventure,Other,0,0,0.48,0,0.48
All-Star Baseball 99,N64,1998,Sports,Other,0.44,0.04,0,0,0.48
Harvest Moon DS (US sales),DS,2005,Simulation,Other,0.41,0.07,0,0,0.48
Scrabble 2007 Edition,DS,2007,Puzzle,Ubisoft,0,0.48,0,0,0.48
Tiger Woods PGA Tour 06,XB,2005,Sports,Electronic Arts,0.35,0.11,0,0.02,0.48
Children of Mana,DS,2006,Role-Playing,Nintendo,0.16,0.01,0.29,0.02,0.48
Wu-Tang: Shaolin Style,PS,1998,Fighting,Activision,0.27,0.18,0,0.03,0.48
Yu-Gi-Oh! Forbidden Memories (JP sales),PS,1999,Role-Playing,Other,0,0,0.45,0.03,0.48
ECW Hardcore Revolution,PS,1999,Fighting,Other,0.27,0.18,0,0.03,0.48
Vigilante 8: 2nd Offense,PS,1999,Racing,Activision,0.27,0.18,0,0.03,0.48
NFL Xtreme 2,PS,1999,Sports,Other,0.27,0.18,0,0.03,0.48
Go Diego Go! Great Dinosaur Rescue,DS,2008,Action,Take-Two Interactive,0.44,0.01,0,0.03,0.48
OkamiDen,DS,2010,Adventure,Capcom,0.25,0.07,0.13,0.03,0.48
Tiger Woods PGA Tour 07,X360,2006,Sports,Electronic Arts,0.44,0,0,0.04,0.48
Spider-Man 3,Wii,2007,Platform,Activision,0.42,0.02,0,0.04,0.48
SimCity Creator,Wii,2008,Simulation,Electronic Arts,0.37,0.03,0.04,0.04,0.48
Crash: Mind Over Mutant,X360,2008,Platform,Other,0.22,0.21,0,0.05,0.48
Harvest Moon 64,N64,1999,Simulation,Other,0.25,0.06,0.11,0.06,0.48
Jeopardy!,PS2,2003,Misc,Atari,0.24,0.18,0,0.06,0.48
Secret Weapons Over Normandy,PS2,2003,Simulation,Other,0.24,0.18,0,0.06,0.48
Bratz: The Movie,PS2,2007,Simulation,THQ,0.24,0.18,0,0.06,0.48
2010 FIFA World Cup South Africa,PSP,2010,Sports,Electronic Arts,0.09,0.24,0.03,0.12,0.48
Up,PS2,2009,Action,THQ,0.19,0.05,0,0.24,0.48
Crazy Taxi,GC,2001,Racing,Other,0.36,0.09,0.02,0.01,0.48
Die Hard Trilogy 2: Viva Las Vegas,PS,1999,Action,Other,0.27,0.18,0,0.03,0.48
Ultimate I Spy,Wii,2008,Adventure,Other,0.45,0,0,0.03,0.48
Sniper: Art of Victory,PC,2008,Shooter,Other,0,0.45,0,0.03,0.48
Bass Pro Shops: The Strike,Wii,2009,Sports,Other,0.45,0,0,0.03,0.48
Crash of the Titans,DS,2007,Action,Other,0.42,0.02,0,0.04,0.48
Harry Potter and the Order of the Phoenix,Wii,2007,Action,Electronic Arts,0.38,0.06,0,0.04,0.48
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,2009,Shooter,Activision,0.25,0.01,0,0.22,0.48
WipEout Pulse,PS2,2009,Racing,Sony Computer Entertainment,0,0.15,0,0.33,0.48
Castlevania: Dawn of Sorrow,DS,2005,Platform,Other,0.37,0.04,0.03,0.04,0.48
Cars: Race-O-Rama,DS,2009,Racing,THQ,0.35,0.09,0,0.04,0.48
Cars: Race-O-Rama,PS2,2009,Racing,THQ,0.27,0.03,0,0.17,0.47
Destroy All Humans!,XB,2005,Shooter,THQ,0.34,0.11,0,0.02,0.47
Crash of the Titans,Wii,2007,Action,Other,0.4,0.03,0,0.04,0.47
Sid Meier's Civilization Revolution,DS,2008,Strategy,Take-Two Interactive,0.38,0.03,0.02,0.04,0.47
Dora The Explorer: Dora Saves the Snow Princess,DS,2008,Platform,Take-Two Interactive,0.27,0.16,0,0.04,0.47
Mat Hoffman's Pro BMX 2,PS2,2002,Sports,Activision,0.23,0.18,0,0.06,0.47
Metal Gear Solid: The Essential Collection,PS2,2007,Adventure,Other,0.23,0.18,0,0.06,0.47
SingStar Amped,PS2,2007,Misc,Sony Computer Entertainment,0.23,0.18,0,0.06,0.47
Burnout Dominator,PSP,2007,Racing,Electronic Arts,0.02,0.38,0.01,0.06,0.47
NBA Live 99,N64,1998,Sports,Electronic Arts,0.45,0.02,0,0,0.47
Imagine: Figure Skater (US sales),DS,2007,Sports,Ubisoft,0.46,0.01,0,0,0.47
Doom 64,N64,1997,Shooter,Other,0.38,0.08,0,0.01,0.47
Quest 64,N64,1998,Role-Playing,Other,0.38,0.08,0,0.01,0.47
Densetsu no Stafi,GBA,2002,Platform,Nintendo,0,0,0.46,0.01,0.47
Valkyrie Profile 2: Silmeria,PS2,2006,Role-Playing,Other,0.04,0.03,0.39,0.01,0.47
"Warhammer 40,000: Dawn of War II",PC,2009,Strategy,THQ,0,0.45,0,0.02,0.47
Boom Blox Bash Party,Wii,2009,Puzzle,Electronic Arts,0.34,0.09,0,0.04,0.47
Dragon Age Origins: Awakening,X360,2010,Role-Playing,Electronic Arts,0.33,0.1,0,0.04,0.47
MySims Racing,Wii,2009,Racing,Electronic Arts,0.19,0.23,0,0.05,0.47
ICO,PS2,2001,Action,Sony Computer Entertainment,0.23,0.18,0,0.06,0.47
X-Men: Next Dimension,PS2,2002,Fighting,Activision,0.23,0.18,0,0.06,0.47
Hot Wheels Velocity X,PS2,2002,Racing,THQ,0.23,0.18,0,0.06,0.47
Downhill Domination,PS2,2003,Racing,Other,0.23,0.18,0,0.06,0.47
Godzilla: Save the Earth,PS2,2004,Fighting,Atari,0.23,0.18,0,0.06,0.47
L.A. Rush,PS2,2005,Racing,Other,0.23,0.18,0,0.06,0.47
The Godfather (JP sales),PS2,2006,Action,Electronic Arts,0.39,0.02,0,0.06,0.47
NBA Ballers: Phenom,PS2,2006,Sports,Other,0.23,0.18,0,0.06,0.47
Dark Sector,PS3,2008,Shooter,Other,0.23,0.16,0.01,0.07,0.47
FIFA World Cup Germany 2006,X360,2006,Sports,Electronic Arts,0.19,0.27,0.01,0,0.47
Ford Racing Off Road,Wii,2008,Racing,Other,0.06,0.4,0,0.01,0.47
Final Fantasy Crystal Chronicles: Echoes of Time,DS,2009,Role-Playing,Other,0.12,0.06,0.27,0.02,0.47
Viva Pinata: Trouble in Paradise,X360,2008,Simulation,Microsoft Game Studios,0.16,0.25,0.01,0.05,0.47
Theme Park Roller Coaster,PS2,2000,Strategy,Electronic Arts,0.23,0.18,0,0.06,0.47
World of Outlaws: Sprint Cars 2002,PS2,2002,Racing,Other,0.23,0.18,0,0.06,0.47
Classic NES Series: Pac-Man,GBA,2004,Puzzle,Nintendo,0.25,0.09,0.12,0.01,0.47
Super Puyo Puyo 2,SNES,1995,Puzzle,Other,0,0,0.47,0,0.47
Super Momotarou Dentetsu DX,SNES,1995,Misc,Other,0,0,0.47,0,0.47
World Soccer Winning Eleven 8: Liveware Evolution,PS2,2005,Sports,Other,0,0,0.47,0,0.47
Clash of Elementalists,DS,2010,Action,Other,0,0,0.47,0,0.47
Need for Speed Carbon,XB,2006,Racing,Electronic Arts,0.35,0.1,0,0.02,0.47
WipEout,PS,1995,Action,Other,0.26,0.18,0,0.03,0.47
Alien Trilogy,PS,1996,Shooter,Other,0.24,0.16,0.04,0.03,0.47
NHL 97,PS,1996,Sports,Electronic Arts,0.26,0.18,0,0.03,0.47
Momotarou Dentetsu V,PS,1999,Misc,Other,0,0,0.44,0.03,0.47
MTV Music Generator,PS,1999,Misc,Other,0.26,0.18,0,0.03,0.47
Gauntlet Legends,PS,2000,Action,Other,0.26,0.18,0,0.03,0.47
Crayola: Treasure Adventures,DS,2007,Puzzle,Other,0.43,0.01,0,0.03,0.47
Shadowrun,X360,2007,Role-Playing,Microsoft Game Studios,0.41,0.02,0,0.04,0.47
Spider-Man 3,DS,2007,Platform,Activision,0.41,0.02,0,0.04,0.47
Spider-Man: Friend or Foe,DS,2007,Action,Activision,0.43,0,0,0.04,0.47
Petz Sports,Wii,2008,Simulation,Ubisoft,0.42,0.01,0,0.04,0.47
WWE SmackDown vs. Raw 2011,Wii,2010,Fighting,THQ,0.3,0.13,0,0.04,0.47
We Sing Encore,Wii,2010,Misc,Other,0,0.41,0,0.06,0.47
The Sims 3: Ambitions,PC,2010,Simulation,Electronic Arts,0,0.29,0,0.18,0.47
Need for Speed: Hot Pursuit,Wii,2010,Racing,Electronic Arts,0.18,0.24,0,0.05,0.47
Phantasy Star Online Episode I & II,GC,2002,Role-Playing,Other,0.23,0.06,0.16,0.01,0.46
Enter the Matrix,GC,2003,Action,Atari,0.34,0.09,0.02,0.01,0.46
Star Wars Jedi Knight: Jedi Academy,XB,2003,Shooter,Activision,0.34,0.1,0,0.02,0.46
NASCAR 2005: Chase for the Cup,XB,2004,Racing,Electronic Arts,0.34,0.1,0,0.02,0.46
WWE WrestleMania 21,XB,2005,Fighting,THQ,0.34,0.1,0,0.02,0.46
NHL FaceOff '97,PS,1996,Sports,Sony Computer Entertainment,0.26,0.17,0,0.03,0.46
Razor Freestyle Scooter,PS,1999,Sports,Ubisoft,0.26,0.17,0,0.03,0.46
Hydro Thunder,PS,1999,Racing,Other,0.26,0.17,0,0.03,0.46
Kessen II,PS2,2001,Strategy,THQ,0.13,0.1,0.2,0.03,0.46
Automobili Lamborghini,N64,1997,Racing,Other,0.28,0.17,0,0.01,0.46
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,THQ,0.33,0.12,0,0.01,0.46
Dynasty Warriors: Strikeforce,PSP,2009,Action,Ubisoft,0.03,0.03,0.38,0.02,0.46
Super Batter Up,SNES,1992,Sports,Namco Bandai,0,0,0.46,0,0.46
Crayon Shin-Chan: Arashi o Yobu Enji,SNES,1993,Platform,Namco Bandai,0,0,0.46,0,0.46
Space Invaders,SNES,1994,Shooter,Other,0,0,0.46,0,0.46
Momotarou Dentetsu 11,PS2,2002,Misc,Other,0,0,0.46,0,0.46
Iridion 3D,GBA,2001,Shooter,THQ,0.33,0.12,0,0.01,0.46
Scooby-Doo,GBA,2001,Platform,THQ,0.33,0.12,0,0.01,0.46
Rugrats: Castle Capers,GBA,2001,Action,THQ,0.33,0.12,0,0.01,0.46
Dragon Ball Z: Collectible Card Game,GBA,2002,Misc,Other,0.33,0.12,0,0.01,0.46
Stuart Little 2,GBA,2002,Platform,Activision,0.33,0.12,0,0.01,0.46
Crash Nitro Kart,GBA,2003,Racing,Other,0.33,0.12,0,0.01,0.46
Mother 1+2,GBA,2003,Role-Playing,Nintendo,0,0,0.45,0.01,0.46
Tak 2: The Staff of Dreams,GBA,2004,Platform,THQ,0.33,0.12,0,0.01,0.46
Disney's Kim Possible 3: Team Possible,GBA,2005,Platform,Other,0.33,0.12,0,0.01,0.46
Top Spin,XB,2003,Sports,Microsoft Game Studios,0.36,0.08,0,0.02,0.46
.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46
Pirates of the Caribbean: At World's End,Wii,2007,Action,Other,0.39,0.02,0.01,0.04,0.46
LEGO Rock Band,DS,2009,Misc,Other,0.33,0.09,0,0.04,0.46
The Legend of Spyro: Dawn of the Dragon,DS,2008,Platform,Other,0.26,0.15,0,0.05,0.46
Command & Conquer: Red Alert 3,X360,2008,Strategy,Electronic Arts,0.18,0.23,0,0.05,0.46
Vin Diesel: Wheelman,X360,2009,Racing,Ubisoft,0.24,0.17,0,0.05,0.46
The Mark of Kri,PS2,2002,Action,Sony Computer Entertainment,0.22,0.18,0,0.06,0.46
Jampack Winter 2003 (RP-M),PS2,2003,Misc,Sony Computer Entertainment,0.22,0.18,0,0.06,0.46
The Legend of Spyro: Dawn of the Dragon,PS3,2008,Platform,Other,0.19,0.19,0,0.08,0.46
Commando,2600,1987,Action,Activision,0.44,0.02,0,0,0.46
Metal Gear Solid: The Twin Snakes,GC,2004,Action,Other,0.3,0.08,0.07,0.01,0.46
